Used 2015 Jaguar, XF Portfolio V6 AWD, $11,999, Excellent Price, 75,040 miles, 
Used 2018 Jaguar, F-PACE Prestige 25t, $13,900, Excellent Price, 94,453 miles, 
Used 2000 Jaguar, XJ Vanden Plas, $6,900, Excellent Price, 159,291 miles, 
Used 2019 Jaguar, F-PACE R-Sport 30t, $20,995, Excellent Price, 79,650 miles, 
Used 2022 Jaguar, F-PACE P250 AWD S, $27,988, Excellent Price, 69,128 miles, 
Used 2009 Jaguar, XK Convertible, $8,499, Excellent Price, 133,135 miles, 
Used 2020 Jaguar, XE S RWD, $16,997, Fair Price, 89,515 miles, 
Used 2001 Jaguar, XJ Vanden Plas, $12,788, Excellent Price, 15,201 miles, 
Used 2014 Jaguar, F-TYPE Convertible, $17,852, Great Price, 101,000 miles, 
Used 2012 Jaguar, XJ RWD, $11,994, Excellent Price, 85,546 miles, 
Used 2020 Jaguar, F-TYPE P300 Convertible RWD, $33,302, Fair Price, 53,927 miles, 
Used 2020 Jaguar, F-PACE Prestige 30t, $23,735, Excellent Price, 83,963 miles, 
Used 2020 Jaguar, F-PACE SVR AWD, $46,495, Fair Price, 30,897 miles, 
Used 2017 Jaguar, XF Prestige 20d RWD, $9,450, Excellent Price, 90,482 miles, 
Used 2023 Jaguar, F-PACE S P250, $41,998, High Price, 22,514 miles, 
Used 2020 Jaguar, F-PACE Prestige 30t, $25,756, Excellent Price, 47,301 miles, 
Used 2003 Jaguar, XJ Vanden Plas, $3,995, Excellent Price, 144,898 miles, 
Used 2020 Jaguar, F-PACE Prestige 25t, $29,950, Great Price, 22,778 miles, 
Used 2020 Jaguar, XF Premium 25t Sedan AWD, $22,700, Excellent Price, 53,368 miles, 
Used 2019 Jaguar, XF Prestige Sedan 30t AWD, $27,994, Fair Price, 39,786 miles, 
Used 2021 Jaguar, F-PACE P250 S AWD, $28,999, Great Price, 60,199 miles, 
Used 2021 Jaguar, F-PACE P250 S AWD, $29,983, Fair Price, 67,181 miles, 
Used 2019 Jaguar, F-PACE Premium 25t, $24,998, High Price, 55,293 miles, 
Used 2017 Jaguar, F-PACE Prestige 20d, $16,995, High Price, 100,757 miles, 
Used 2009 Jaguar, XF Luxury, $13,999, Fair Price, 28,636 miles, 
Used 2016 Jaguar, XJL Portfolio RWD, $18,998, High Price, 80,358 miles, 
Used 2014 Jaguar, XJL Portfolio AWD, $17,488, High Price, 59,528 miles, 
Used 2017 Jaguar, F-PACE S, $23,989, High Price, 56,733 miles, 
Used 2004 Jaguar, XJ Vanden Plas, $7,690, High Price, 152,484 miles, 
Used 2018 Jaguar, F-TYPE Convertible 2.0T RWD Automatic, $22,999, High Price, 97,982 miles, 
