Year/Make, Model, Price, Rating, Mileage
Used 2021 Kia, Sportage LX AWD, 13700, Excellent Price, 76369
Used 2021 Kia, Forte LXS IVT, 11458, Excellent Price, 99958
Used 2021 Kia, Sorento Hybrid EX FWD, 20988, Excellent Price, 96781
Used 2021 Kia, Soul EX IVT, 16457, Excellent Price, 41172
Used 2021 Kia, Sportage SX Turbo FWD, 20722, Great Price, 61340
Used 2021 Kia, Forte LXS IVT, 15839, Excellent Price, 37229
Used 2021 Kia, Stinger GT-Line RWD, 25998, Great Price, 15498
Used 2021 Kia, K5 LXS FWD, 14700, Great Price, 109253
Used 2021 Kia, Telluride SX AWD, 32795, Excellent Price, 44832
Used 2021 Kia, K5 LX FWD, 20998, Fair Price, 39274
Used 2021 Kia, K5 EX FWD, 18998, Excellent Price, 86430
Used 2021 Kia, Rio S 5-Door IVT, 11000, Great Price, 92327
Used 2021 Kia, Seltos S 2.0 FWD, 15988, Fair Price, 60639
Used 2021 Kia, Soul LX IVT, 15500, Great Price, 26428
Used 2021 Kia, Sorento SX AWD, 25395, Great Price, 67005
Used 2021 Kia, Sorento S FWD, 22700, Great Price, 47964
Used 2021 Kia, Forte LXS IVT, 16500, Fair Price, 35034
Used 2021 Kia, Seltos LX 2.0 AWD, 16981, Fair Price, 46145
Used 2021 Kia, Forte LXS IVT, 16099, Great Price, 40991
Used 2021 Kia, Seltos S 2.0 AWD, 18998, Fair Price, 56301
Used 2021 Kia, Seltos LX 2.0 AWD, 14600, Great Price, 79629
Used 2021 Kia, Telluride EX AWD, 27422, Fair Price, 76258
Used 2021 Kia, Forte LXS IVT, 14850, Excellent Price, 42594
Used 2021 Kia, Forte LXS IVT, 15300, Fair Price, 55315
Used 2021 Kia, Sportage LX FWD, 18998, Fair Price, 38645
Used 2021 Kia, Soul LX IVT, 11875, Excellent Price, 80921
Used 2021 Kia, Sportage LX AWD, 11900, Excellent Price, 110586
Used 2021 Kia, Telluride SX AWD, 31990, Fair Price, 51091
Used 2021 Kia, Stinger GT2 AWD, 27000, Excellent Price, 80090
Used 2021 Kia, Forte FE IVT, 13688, Great Price, 74076
Used 2021 Kia, Seltos LX 2.0 AWD, 14600, Great Price, 79629
Used 2021 Kia, Stinger GT2 RWD, 35750, Great Price, 26292
Used 2021 Kia, Telluride SX AWD, 23385, Great Price, 110963
Used 2021 Kia, Forte LXS IVT, 16100, Great Price, 37230
Used 2021 Kia, Seltos S 2.0 AWD, 18998, Fair Price, 56301
Used 2021 Kia, Telluride EX AWD, 27422, Fair Price, 76258
Used 2021 Kia, Sportage LX FWD, 16799, Great Price, 58456
Used 2021 Kia, K5 GT-Line AWD, 22999, Fair Price, 61810
Used 2021 Kia, Sorento SX Prestige X-Line AWD, 28900, Great Price, 38714
Used 2021 Kia, Sorento SX Prestige X-Line AWD, 29295, Great Price, 48412
Used 2021 Kia, K5 GT-Line AWD, 23100, Great Price, 60108
Used 2021 Kia, Sorento SX Prestige FWD, 25995, Great Price, 56176
Used 2021 Kia, Seltos EX 2.0 AWD, 19700, Great Price, 30779
Used 2021 Kia, Sorento SX AWD, 29681, Fair Price, 26439
Used 2021 Kia, Sorento EX AWD, 22998, Fair Price, 73926
Used 2021 Kia, Sorento SX Prestige FWD, 23893, Excellent Price, 94186
Used 2021 Kia, K5 GT-Line FWD, 21950, High Price, 48179
Used 2021 Kia, Forte LXS IVT, 17998, Fair Price, 31764
Used 2021 Kia, Sorento S FWD, 25465, Fair Price, 39771
Used 2021 Kia, Sportage LX AWD, 19998, High Price, 28547
Used 2021 Kia, Soul S IVT, 18197, Fair Price, 48933
Used 2021 Kia, Sorento SX Prestige X-Line AWD, 26999, Great Price, 57603
Used 2021 Kia, K5 GT-Line FWD, 19806, Great Price, 81570
Used 2021 Kia, Soul S IVT, 14925, Great Price, 67638
Used 2021 Kia, Seltos SX 1.6T AWD, 21700, Fair Price, 22871
Used 2021 Kia, Sportage LX AWD, 14220, Excellent Price, 76199
Used 2021 Kia, K5 GT-Line AWD, 23500, Great Price, 46757
Used 2021 Kia, K5 GT-Line FWD, 21984, Fair Price, 54177
Used 2021 Kia, K5 GT-Line AWD, 20997, Excellent Price, 76295
Used 2021 Kia, Telluride EX FWD, 25594, Fair Price, 75468
Used 2021 Kia, Telluride EX AWD, 34664, High Price, 40610
Used 2021 Kia, K5 EX FWD, 22882, High Price, 65903
Used 2021 Kia, Sportage EX FWD, 23500, High Price, 25784
Used 2021 Kia, Soul LX IVT, 14999, Excellent Price, 51201
