Year/Make, Model, Price, Rating, Mileage
Used 2024 Lexus, RX 350 FWD, 48980, Excellent Price, 17520
Used 2024 Lexus, NX 450h+ Luxury AWD, 54570, Excellent Price, 22188
Used 2024 Lexus, RZ 300e Premium FWD with 18" wheels, 36988, Excellent Price, 4212
Used 2024 Lexus, RX 350 F SPORT Handling AWD, 56998, Great Price, 17859
Used 2024 Lexus, RX 450h+ Luxury AWD, 68470, Great Price, 10589
Used 2024 Lexus, RX 350 F SPORT Handling AWD, 57988, Great Price, 9336
Used 2024 Lexus, RX 350 FWD, 46988, Excellent Price, 15067
Used 2024 Lexus, NX 350 Premium AWD, 42488, Excellent Price, 11891
Used 2024 Lexus, RX 500h F SPORT Performance AWD, 62999, Great Price, 21502
Used 2024 Lexus, NX 250 Premium FWD, 39988, Excellent Price, 20370
Used 2024 Lexus, RX 350 Premium FWD, 48988, Great Price, 19994
Used 2024 Lexus, NX 350 F SPORT Handling AWD, 45873, Great Price, 22293
Used 2024 Lexus, NX 250 Premium FWD, 39988, Great Price, 11480
Used 2024 Lexus, ES 350 Ultra Luxury FWD, 49545, Great Price, 1196
Used 2024 Lexus, NX 250 Premium FWD, 39888, Great Price, 12354
Used 2024 Lexus, ES 350 F SPORT Handling FWD, 47428, Great Price, 17245
Used 2024 Lexus, RX 350 Premium FWD, 51488, Great Price, 9926
Used 2024 Lexus, TX 350 FWD, 54888, Great Price, 6480
Used 2024 Lexus, NX 250 Premium FWD, 39988, Great Price, 10114
Used 2024 Lexus, ES 350 FWD, 39988, Great Price, 7962
Used 2024 Lexus, IS 350 F SPORT RWD, 44570, Great Price, 20357
Used 2024 Lexus, RX 350 Premium FWD, 51988, Great Price, 13007
Used 2024 Lexus, ES 300h FWD, 41488, Great Price, 7081
Used 2024 Lexus, RX 350 FWD, 47988, Fair Price, 22259
Used 2024 Lexus, LX 600 Luxury, 100888, Great Price, 13008
Used 2024 Lexus, TX 350 FWD, 52988, Great Price, 9557
Used 2024 Lexus, ES 350 Luxury FWD, 45988, Great Price, 3752
Used 2024 Lexus, RX 350 Luxury FWD, 59988, Great Price, 14126
Used 2024 Lexus, IS 300 F SPORT RWD, 42988, Great Price, 9916
Used 2024 Lexus, LX 600 Luxury, 101988, Great Price, 12119
Used 2024 Lexus, ES 300h Luxury FWD, 47788, Great Price, 13103
Used 2024 Lexus, RX 350 Premium Plus AWD, 54488, Great Price, 10682
Used 2024 Lexus, RX 500h F SPORT Performance AWD, 64888, Great Price, 20664
Used 2024 Lexus, RX 350 Luxury FWD, 61988, Fair Price, 9744
Used 2024 Lexus, TX 350 Premium FWD, 58500, Fair Price, 21960
Used 2024 Lexus, UX 250h Premium FWD, 35988, Fair Price, 28732
Used 2024 Lexus, RX 350 Premium Plus FWD, 54988, Fair Price, 21443
Used 2024 Lexus, ES 300h FWD, 42988, Fair Price, 4185
Used 2024 Lexus, NX 350h Luxury AWD, 44000, Fair Price, 52061
Used 2024 Lexus, NX 250 FWD, 38988, Fair Price, 15843
Used 2024 Lexus, RX 350 Premium Plus AWD, 51281, Great Price, 11651
Used 2024 Lexus, ES 350 FWD, 41000, Fair Price, 22988
Used 2024 Lexus, RX 350h Premium Plus AWD, 56000, High Price, 10901
Used 2024 Lexus, LX 600 Luxury, 99975, High Price, 39233
Used 2024 Lexus, RX 350 Premium Plus FWD, 56388, Fair Price, 15241
Used 2024 Lexus, RX 350 Premium Plus AWD, 55995, Fair Price, 12950
Used 2024 Lexus, RX 350 Premium Plus FWD, 55488, Fair Price, 16170
Used 2024 Lexus, RX 350 Premium FWD, 53888, Fair Price, 18127
Used 2024 Lexus, NX 350h AWD, 42895, Fair Price, 18213
Used 2024 Lexus, RX 350 Premium Plus FWD, 56988, Fair Price, 9672
Used 2024 Lexus, RX 350 FWD, 55458, High Price, 21623
Used 2024 Lexus, RX 350h Premium Plus AWD, 52988, Fair Price, 44430
Used 2024 Lexus, ES 350 Ultra Luxury FWD, 49950, Fair Price, 10933
Used 2024 Lexus, TX 350 Premium FWD, 59997, High Price, 19291
Used 2024 Lexus, IS 350 F SPORT RWD, 46000, High Price, 26901
Used 2024 Lexus, ES 350 FWD, 41988, High Price, 22488
Used 2024 Lexus, IS 350 F SPORT Design RWD, 44495, Fair Price, 14799
Used 2024 Lexus, TX 350 Premium FWD, 60888, Fair Price, 2554
Used 2024 Lexus, RX 350 FWD, 52900, High Price, 10205
Used 2024 Lexus, UX 250h F SPORT Design FWD, 37085, Fair Price, 9508
Used 2024 Lexus, TX 350 Premium FWD, 60888, Fair Price, 2554
Used 2024 Lexus, NX 250 Premium FWD, 41456, Fair Price, 8503
Used 2024 Lexus, TX 350 Premium FWD, 59997, High Price, 19291
Used 2024 Lexus, RX 350 Premium Plus FWD, 57488, High Price, 14042
Used 2024 Lexus, UX 250h F SPORT Handling FWD, 42988, Fair Price, 11624
Used 2024 Lexus, RX 350 FWD, 55458, High Price, 21623
Used 2024 Lexus, ES 350 FWD, 40988, Fair Price, 12233
