Year/Make, Model, Price, Rating, Mileage
Used 2018 Volkswagen, Passat R-Line, 10899, Excellent Price, 101488
Used 2018 Volkswagen, Jetta 1.4T SE Automatic, 13400, Excellent Price, 63169
Used 2018 Volkswagen, Passat 2.0T SE with Technology, 7435, Excellent Price, 153479
Used 2018 Volkswagen, Passat 2.0T S, 10798, Excellent Price, 94171
Used 2018 Volkswagen, Tiguan SE 4MOTION, 9376, Fair Price, 173690
Used 2018 Volkswagen, Passat 2.0T SE, 14998, Excellent Price, 81322
Used 2018 Volkswagen, Atlas V6 SE with Technology FWD, 11891, Great Price, 141897
Used 2018 Volkswagen, Passat R-Line, 16795, High Price, 74170
Used 2018 Volkswagen, Golf SE FWD Auto, 19998, High Price, 32227
Used 2018 Volkswagen, Passat 2.0T SE, 15998, High Price, 91517
Used 2018 Volkswagen, Passat V6 GT DSG, 18998, Fair Price, 79769
Used 2018 Volkswagen, Golf Alltrack S DSG, 16640, High Price, 107214
Used 2018 Volkswagen, Tiguan SE FWD, 12850, Great Price, 70878
Used 2018 Volkswagen, Tiguan Limited Limited S 4MOTION, 16998, High Price, 59236
Used 2018 Volkswagen, Tiguan SE 4MOTION, 14970, High Price, 94582
Used 2018 Volkswagen, Jetta 1.4T Wolfsburg Edition Automatic, 14300, High Price, 58285
