Year/Make, Model, Price, Rating, Mileage
Used 2021 Volvo, XC60 T8 Plug-In Hybrid Polestar eAWD, 40990, Excellent Price, 34601, 
Used 2021 Volvo, XC90 T8 eAWD Plug-In Hybrid Inscription 7 Passenger, 35998, Excellent Price, 60472, 
Used 2021 Volvo, XC90 T6 Momentum 6 Passenger AWD, 29950, Excellent Price, 61381, 
Used 2021 Volvo, XC90 T8 eAWD Plug-In Hybrid Inscription 6 Passenger, 37998, Excellent Price, 59511, 
Used 2021 Volvo, XC40 Recharge P8 Recharge eAWD, 20500, Great Price, 58786, 
Used 2021 Volvo, XC60 T5 Inscription FWD, 30620, Excellent Price, 25527, 
Used 2021 Volvo, XC60 T5 Momentum AWD, 25700, Fair Price, 51077, 
Used 2021 Volvo, XC90 T6 Inscription 7 Passenger AWD, 37990, Excellent Price, 34340, 
Used 2021 Volvo, XC90 T6 Inscription 6 Passenger AWD, 30785, Excellent Price, 79551, 
Used 2021 Volvo, V60 Cross Country T5 AWD, 29350, Fair Price, 66213, 
Used 2021 Volvo, S90 T6 Inscription AWD, 31500, Fair Price, 36299, 
Used 2021 Volvo, XC90 T8 eAWD Plug-In Hybrid Inscription Expression 6 Passenger, 29657, High Price, 90937, 
Used 2021 Volvo, XC90 T8 eAWD Plug-In Hybrid Inscription Expression 6 Passenger, 41998, High Price, 40311, 
Used 2021 Volvo, XC40 T5 Momentum AWD, 23500, High Price, 48072, 
Used 2021 Volvo, XC40 T5 Momentum AWD, 23181, High Price, 65197, 
Used 2021 Volvo, XC40 T5 Momentum AWD, 22988, High Price, 63876, 
Used 2021 Volvo, XC60 T5 Inscription FWD, 24934, High Price, 149974, 
Used 2021 Volvo, XC40 T4 Momentum FWD, 18700, High Price, 80474, 
