Year/Make, Model, Price, Rating, Mileage
Used 2023 Buick, Envision Preferred AWD, 27455, Great Price, 16447, 
Used 2023 Buick, Envision Essence FWD, 22950, Great Price, 47080, 
Used 2023 Buick, Envision Avenir FWD, 31167, Great Price, 15131, 
Used 2023 Buick, Encore GX Select FWD, 21795, Great Price, 7589, 
Used 2023 Buick, Encore GX Select AWD, 26998, Fair Price, 7072, 
Used 2023 Buick, Envision Preferred FWD, 23999, Fair Price, 35051, 
Used 2023 Buick, Envision Avenir AWD, 32964, Fair Price, 19100, 
Used 2023 Buick, Envision Avenir AWD, 34982, High Price, 6786, 
Used 2023 Buick, Enclave Essence FWD, 30499, Great Price, 58201, 
Used 2023 Buick, Enclave Essence AWD, 33500, High Price, 40849, 
Used 2023 Buick, Envision Essence AWD, 33482, High Price, 6127, 
Used 2023 Buick, Envision Essence FWD, 30136, High Price, 13011, 
Used 2023 Buick, Envision Essence AWD, 28981, High Price, 25433, 
Used 2023 Buick, Encore GX Select FWD, 18500, High Price, 68785, 
