Year/Make, Model, Price, Rating, Mileage
Used 2023 Cadillac, Escalade ESV Premium Luxury Platinum 4WD, 78550, Excellent Price, 35467, 
Used 2023 Cadillac, XT4 Premium Luxury AWD, 26721, Excellent Price, 46526, 
Used 2023 Cadillac, Escalade Premium Luxury 4WD, 67530, Excellent Price, 39315, 
Used 2023 Cadillac, XT4 Premium Luxury AWD, 24754, Excellent Price, 54300, 
Used 2023 Cadillac, CT4 Premium Luxury, 25995, Excellent Price, 46157, 
Used 2023 Cadillac, Escalade ESV Premium Luxury Platinum 4WD, 78550, Excellent Price, 35467, 
Used 2023 Cadillac, CT5 Luxury, 30766, Great Price, 35906, 
Used 2023 Cadillac, Escalade Sport RWD, 60999, Excellent Price, 60699, 
Used 2023 Cadillac, Escalade Premium Luxury 4WD, 74665, Great Price, 11959, 
Used 2023 Cadillac, XT6 Sport AWD, 41500, Excellent Price, 19947, 
Used 2023 Cadillac, XT4 Sport AWD, 33220, Excellent Price, 14224, 
Used 2023 Cadillac, Escalade Premium Luxury Platinum 4WD, 75999, Excellent Price, 49144, 
Used 2023 Cadillac, Escalade Sport Platinum 4WD, 79500, Excellent Price, 26712, 
Used 2023 Cadillac, Escalade Sport Platinum 4WD, 85999, Great Price, 18951, 
Used 2023 Cadillac, Escalade Premium Luxury Platinum 4WD, 79999, Excellent Price, 34185, 
Used 2023 Cadillac, Escalade Premium Luxury Platinum 4WD, 79999, Excellent Price, 37444, 
Used 2023 Cadillac, Escalade Premium Luxury Platinum 4WD, 81999, Excellent Price, 22549, 
Used 2023 Cadillac, XT6 Premium Luxury AWD, 40279, Fair Price, 30103, 
Used 2023 Cadillac, XT6 Premium Luxury AWD, 38900, Excellent Price, 17231, 
Used 2023 Cadillac, CT5 Premium Luxury, 29991, Excellent Price, 84589, 
Used 2023 Cadillac, XT6 Premium Luxury FWD, 35300, Great Price, 43557, 
Used 2023 Cadillac, Escalade Sport Platinum 4WD, 87500, Fair Price, 16094, 
Used 2023 Cadillac, Escalade Premium Luxury 4WD, 64999, Fair Price, 56887, 
Used 2023 Cadillac, Escalade Premium Luxury Platinum 4WD, 87900, Great Price, 20688, 
Used 2023 Cadillac, Escalade Sport 4WD, 76490, Fair Price, 20035, 
Used 2023 Cadillac, CT4 Sport, 34683, High Price, 27638, 
Used 2023 Cadillac, XT6 Sport AWD, 44020, High Price, 24252, 
Used 2023 Cadillac, XT5 Sport AWD, 36000, High Price, 47540, 
Used 2023 Cadillac, XT6 Premium Luxury FWD, 41656, High Price, 20647, 
Used 2023 Cadillac, XT5 Premium Luxury AWD, 32250, Fair Price, 30119, 
Used 2023 Cadillac, Escalade Sport Platinum 4WD, 75999, Fair Price, 52463, 
Used 2023 Cadillac, CT5 Luxury, 32403, Fair Price, 18878, 
Used 2023 Cadillac, Escalade Premium Luxury 4WD, 63290, Fair Price, 55444, 
Used 2023 Cadillac, Escalade Sport 4WD, 72999, Fair Price, 32255, 
Used 2023 Cadillac, Escalade Premium Luxury 4WD, 74500, Fair Price, 20230, 
Used 2023 Cadillac, Escalade Sport 4WD, 69995, High Price, 32388, 
Used 2023 Cadillac, Escalade Premium Luxury 4WD, 67871, Fair Price, 42611, 
Used 2023 Cadillac, XT6 Premium Luxury FWD, 39980, High Price, 31367, 
Used 2023 Cadillac, Escalade Premium Luxury RWD, 77495, High Price, 9043, 
Used 2023 Cadillac, CT5 Premium Luxury, 37640, High Price, 27282, 
Used 2023 Cadillac, Escalade ESV Sport 4WD, 71999, Fair Price, 45372, 
Used 2023 Cadillac, Escalade Sport 4WD, 79999, High Price, 32840, 
Used 2023 Cadillac, XT5 Premium Luxury FWD, 31567, High Price, 48382, 
Used 2023 Cadillac, XT6 Premium Luxury AWD, 43995, High Price, 20958, 
