Year/Make, Model, Price, Rating, Mileage
Used 2023 Lincoln, Corsair Grand Touring AWD, 40999, Fair Price, 18265, 
Used 2023 Lincoln, Nautilus Reserve FWD, 32511, Excellent Price, 46723, 
Used 2023 Lincoln, Aviator Reserve AWD, 46500, Great Price, 26169, 
Used 2023 Lincoln, Navigator Reserve 4WD, 64000, Great Price, 22859, 
Used 2023 Lincoln, Corsair Reserve FWD, 37065, Fair Price, 15946, 
Used 2023 Lincoln, Aviator Standard AWD, 39900, Fair Price, 37660, 
Used 2023 Lincoln, Corsair Standard AWD, 28995, Great Price, 14047, 
Used 2023 Lincoln, Navigator Reserve 4WD, 70000, Fair Price, 22204, 
Used 2023 Lincoln, Corsair Reserve FWD, 35977, Fair Price, 8185, 
Used 2023 Lincoln, Navigator Black Label 4WD, 75000, Fair Price, 26326, 
Used 2023 Lincoln, Corsair Reserve FWD, 37995, High Price, 10066, 
Used 2023 Lincoln, Aviator Black Label AWD, 55995, High Price, 28819, 
Used 2023 Lincoln, Nautilus Reserve AWD, 33353, High Price, 69420, 
