Year/Make, Model, Price, Rating, Mileage
Used 2021 Nissan, Altima 2.5 S FWD, 15590, Excellent Price, 72917, 
Used 2021 Nissan, NV200 Compact Cargo S, 15995, Excellent Price, 82466, 
Used 2021 Nissan, Rogue SV AWD, 18899, Great Price, 88316, 
Used 2021 Nissan, Titan SV Crew Cab 2WD, 27461, Excellent Price, 47823, 
Used 2021 Nissan, Versa SV CVT, 8777, Excellent Price, 92386, 
Used 2021 Nissan, Rogue SV FWD, 16995, Excellent Price, 100192, 
Used 2021 Nissan, Altima 2.5 SV FWD, 16518, Excellent Price, 79780, 
Used 2021 Nissan, NV200 Compact Cargo SV, 9500, Excellent Price, 159882, 
Used 2021 Nissan, LEAF SV, 12900, Excellent Price, 5190, 
Used 2021 Nissan, Rogue Platinum AWD, 21995, Great Price, 96854, 
Used 2021 Nissan, Rogue Platinum AWD, 18996, Excellent Price, 92879, 
Used 2021 Nissan, Rogue SV FWD, 18723, Great Price, 84145, 
Used 2021 Nissan, Rogue Sport SV AWD, 17000, Excellent Price, 44515, 
Used 2021 Nissan, Altima 2.5 SV FWD, 11966, Excellent Price, 105454, 
Used 2021 Nissan, Sentra SR CVT, 16995, Excellent Price, 20899, 
Used 2021 Nissan, Rogue S FWD, 17709, Great Price, 80941, 
Used 2021 Nissan, Rogue SL AWD, 20896, Excellent Price, 70269, 
Used 2021 Nissan, Sentra SR CVT, 17000, Excellent Price, 39686, 
Used 2021 Nissan, Rogue S AWD, 21998, Great Price, 25671, 
Used 2021 Nissan, Altima 2.5 SV FWD, 14163, Excellent Price, 67697, 
Used 2021 Nissan, Titan SV Crew Cab 4WD, 29998, Great Price, 79149, 
Used 2021 Nissan, Rogue SV AWD, 19500, Excellent Price, 37551, 
Used 2021 Nissan, Kicks SR, 19998, Great Price, 23667, 
Used 2021 Nissan, Maxima Platinum, 26000, Excellent Price, 30109, 
Used 2021 Nissan, Rogue SV AWD, 14500, Great Price, 132599, 
Used 2021 Nissan, Sentra SV CVT, 18998, Fair Price, 40111, 
Used 2021 Nissan, Rogue SL AWD, 24445, Great Price, 37508, 
Used 2021 Nissan, NV200 Compact Cargo S, 15995, Excellent Price, 82466, 
Used 2021 Nissan, Rogue SV AWD, 13495, Great Price, 154652, 
