Year/Make, Model, Price, Rating, Mileage
Used 2022 Subaru, Outback 2.4T Limited XT, 28998, Excellent Price, 28961, 
Used 2022 Subaru, WRX Limited Manual, 27998, Excellent Price, 49778, 
Used 2022 Subaru, Outback 2.4T Touring XT, 29495, Great Price, 53428, 
Used 2022 Subaru, Outback 2.4T Limited XT, 28995, Great Price, 55721, 
Used 2022 Subaru, Forester Limited, 29998, Great Price, 27144, 
Used 2022 Subaru, Outback 2.5i Limited, 28495, Great Price, 34034, 
Used 2022 Subaru, Legacy 2.5i Premium, 21500, Fair Price, 50526, 
Used 2022 Subaru, Outback 2.4T Wilderness, 27481, Excellent Price, 45436, 
Used 2022 Subaru, Outback 2.5i Limited, 26998, Great Price, 42652, 
Used 2022 Subaru, WRX Limited Manual, 33881, Fair Price, 267, 
Used 2022 Subaru, Forester Wilderness, 30998, Fair Price, 27923, 
Used 2022 Subaru, Crosstrek 2.0i Premium CVT, 25995, Fair Price, 42438, 
Used 2022 Subaru, Crosstrek 2.0i Premium CVT, 25995, Fair Price, 41245, 
Used 2022 Subaru, Outback 2.4T Onyx Edition XT, 32495, Fair Price, 12820, 
Used 2022 Subaru, Legacy 2.5i Premium, 25495, Fair Price, 24502, 
Used 2022 Subaru, Crosstrek 2.5i Limited CVT, 25867, Great Price, 30821, 
Used 2022 Subaru, Outback 2.5i Limited, 26990, Great Price, 37465, 
Used 2022 Subaru, Crosstrek 2.5i Sport CVT, 28495, High Price, 25058, 
Used 2022 Subaru, Outback 2.4T Wilderness, 31995, High Price, 50162, 
Used 2022 Subaru, Impreza Premium 5-door CVT, 21998, Fair Price, 36035, 
Used 2022 Subaru, Outback 2.4T Wilderness, 29500, Great Price, 14187, 
Used 2022 Subaru, Legacy 2.5i Limited, 27998, Fair Price, 8041, 
Used 2022 Subaru, Outback 2.5i Limited, 27998, Fair Price, 30054, 
Used 2022 Subaru, BRZ Limited Manual, 23777, Great Price, 45855, 
Used 2022 Subaru, Outback 2.5i Premium, 25998, Fair Price, 44041, 
Used 2022 Subaru, Outback 2.4T Onyx Edition XT, 31599, High Price, 27212, 
Used 2022 Subaru, Legacy 2.5i Premium, 17500, Excellent Price, 71284, 
Used 2022 Subaru, WRX Manual, 23500, Excellent Price, 21235, 
Used 2022 Subaru, Crosstrek 2.5i Limited CVT, 26800, Excellent Price, 10211, 
Used 2022 Subaru, Forester 2.5i, 23998, Fair Price, 51663, 
Used 2022 Subaru, Outback 2.4T Wilderness, 29950, Great Price, 23713, 
Used 2022 Subaru, Crosstrek 2.5i Limited CVT, 26856, Fair Price, 25091, 
Used 2022 Subaru, Crosstrek 2.5i Sport CVT, 26998, Fair Price, 31084, 
Used 2022 Subaru, Outback 2.5i Touring, 25500, Great Price, 55254, 
Used 2022 Subaru, Ascent Premium 8-Passenger, 27295, Great Price, 34733, 
Used 2022 Subaru, Crosstrek 2.5i Limited CVT, 28998, Fair Price, 24431, 
Used 2022 Subaru, Crosstrek 2.0i Premium Manual, 27998, Fair Price, 20395, 
