Year/Make, Model, Price, Rating, Mileage
Used 2023 Subaru, Solterra Touring, 22800, Excellent Price, 29034
Used 2023 Subaru, Outback Limited, 24988, Excellent Price, 47458
Used 2023 Subaru, Crosstrek 2.0i Premium CVT, 25993, Fair Price, 16309
Used 2023 Subaru, Crosstrek 2.5i Sport CVT, 27998, Great Price, 15304
Used 2023 Subaru, Forester Sport, 29998, Great Price, 19728
Used 2023 Subaru, Outback Wilderness, 29998, Great Price, 45277
Used 2023 Subaru, Forester Premium, 29998, Fair Price, 11990
Used 2023 Subaru, Outback Wilderness, 31555, Fair Price, 32974
Used 2023 Subaru, Impreza Premium 5-door CVT, 19450, Excellent Price, 22998
Used 2023 Subaru, Crosstrek 2.5i Limited CVT, 28998, Fair Price, 19950
Used 2023 Subaru, Outback Touring XT, 34998, Fair Price, 11001
Used 2023 Subaru, Crosstrek 2.0i Premium CVT, 24703, Great Price, 17451
Used 2023 Subaru, Outback Limited, 24000, Excellent Price, 55366
Used 2023 Subaru, Crosstrek 2.0i Premium CVT, 26998, Fair Price, 27903
Used 2023 Subaru, Impreza Premium 5-door CVT, 21998, Fair Price, 48401
Used 2023 Subaru, Forester Limited, 27500, Excellent Price, 22773
Used 2023 Subaru, Outback Touring XT, 29947, Great Price, 45469
Used 2023 Subaru, Ascent Onyx Edition Limited 7-Passenger, 34300, Excellent Price, 32507
Used 2023 Subaru, Outback Premium, 25957, Great Price, 42147
Used 2023 Subaru, Forester Premium, 27500, Great Price, 18539
Used 2023 Subaru, Forester Wilderness, 30581, Fair Price, 30426
Used 2023 Subaru, Outback Onyx Edition, 25799, Fair Price, 44230
Used 2023 Subaru, Legacy Premium, 24998, Fair Price, 20670
Used 2023 Subaru, Ascent Limited 7-Passenger, 31498, Fair Price, 43119
Used 2023 Subaru, Ascent Premium 8-Passenger, 26500, Great Price, 66909
Used 2023 Subaru, Crosstrek 2.0i Premium CVT, 22297, Great Price, 55502
Used 2023 Subaru, Crosstrek 2.5i Sport CVT, 25200, Great Price, 62011
Used 2023 Subaru, WRX Premium Manual, 22899, Excellent Price, 3251
Used 2023 Subaru, Crosstrek 2.5i Sport CVT, 25753, Great Price, 26825
Used 2023 Subaru, Crosstrek 2.0i Manual, 24100, Great Price, 12000
Used 2023 Subaru, Outback Limited XT, 29999, Great Price, 31484
Used 2023 Subaru, Outback Touring XT, 34998, Fair Price, 11001
Used 2023 Subaru, WRX Premium Manual, 22899, Excellent Price, 3251
Used 2023 Subaru, Outback Wilderness, 30511, Great Price, 35388
Used 2023 Subaru, Ascent Limited 7-Passenger, 31498, Fair Price, 43119
Used 2023 Subaru, Forester Premium, 27987, Fair Price, 18077
Used 2023 Subaru, Outback Limited, 26998, Fair Price, 44564
Used 2023 Subaru, Outback Touring XT, 29500, Great Price, 35752
Used 2023 Subaru, Impreza Premium 5-door CVT, 21998, Fair Price, 48401
Used 2023 Subaru, Legacy Premium, 24998, Fair Price, 20670
Used 2023 Subaru, Crosstrek 2.5i Sport CVT, 25955, Great Price, 25866
Used 2023 Subaru, Legacy Premium, 20999, Fair Price, 45595
Used 2023 Subaru, WRX Premium Manual, 27294, Fair Price, 36710
Used 2023 Subaru, Ascent 8-Passenger, 25295, Fair Price, 72298
Used 2023 Subaru, Ascent Premium 8-Passenger, 27660, Fair Price, 57074
Used 2023 Subaru, BRZ Premium Manual, 29998, High Price, 14002
Used 2023 Subaru, Forester Wilderness, 31000, Fair Price, 26254
Used 2023 Subaru, Crosstrek 2.0i Premium CVT, 25000, Fair Price, 34213
Used 2023 Subaru, Crosstrek 2.5i Limited CVT, 26900, Fair Price, 29598
Used 2023 Subaru, Outback Wilderness, 31995, Fair Price, 29591
Used 2023 Subaru, Solterra Touring, 22800, Excellent Price, 29034
Used 2023 Subaru, Outback Wilderness, 30750, Fair Price, 26550
Used 2023 Subaru, Outback Premium, 25995, High Price, 44412
Used 2023 Subaru, Forester Sport, 29979, Fair Price, 14365
Used 2023 Subaru, Forester Touring, 32998, Fair Price, 7467
Used 2023 Subaru, BRZ Premium Automatic, 25500, Fair Price, 41182
Used 2023 Subaru, Crosstrek 2.5i Limited CVT, 24604, Fair Price, 53152
Used 2023 Subaru, WRX Premium Manual, 29481, Fair Price, 28451
Used 2023 Subaru, WRX GT CVT, 38750, Fair Price, 8093
Used 2023 Subaru, Forester Premium, 27499, Fair Price, 47844
Used 2023 Subaru, Outback Limited, 31954, Fair Price, 6288
Used 2023 Subaru, Crosstrek 2.0i Premium CVT, 24977, High Price, 20289
Used 2023 Subaru, WRX Premium Manual, 30500, Fair Price, 14229
Used 2023 Subaru, Outback Premium, 27868, High Price, 29717
Used 2023 Subaru, Outback Limited, 28981, Great Price, 36641
Used 2023 Subaru, WRX Limited Manual, 32546, High Price, 14733
Used 2023 Subaru, Crosstrek 2.5i Limited CVT, 27977, High Price, 20006
Used 2023 Subaru, Crosstrek 2.5i Sport CVT, 27000, Fair Price, 29771
Used 2023 Subaru, Crosstrek 2.5i Sport CVT, 27495, High Price, 48394
Used 2023 Subaru, Legacy Touring XT, 26166, High Price, 68410
Used 2023 Subaru, Crosstrek 2.5i Sport CVT, 27988, High Price, 28009
Used 2023 Subaru, BRZ Limited Manual, 26500, High Price, 18548
Used 2023 Subaru, Ascent Premium 7-Passenger, 33348, High Price, 15107
Used 2023 Subaru, Outback Onyx Edition, 28681, High Price, 57555
Used 2023 Subaru, Outback Premium, 28150, High Price, 37730
Used 2023 Subaru, Forester Premium, 27000, Fair Price, 17099
Used 2023 Subaru, BRZ Limited Manual, 29995, High Price, 28565
Used 2023 Subaru, Crosstrek 2.5i Limited CVT, 25000, Fair Price, 26025
Used 2023 Subaru, Forester Premium, 25300, Fair Price, 34755
Used 2023 Subaru, WRX Premium CVT, 28000, Fair Price, 26172
Used 2023 Subaru, Outback Limited, 31126, Fair Price, 13005
Used 2023 Subaru, WRX CVT, 27495, Fair Price, 15241
Used 2023 Subaru, Crosstrek 2.0i Premium CVT, 28245, High Price, 43513
