Year/Make, Model, Price, Rating, Mileage
Used 2018 Buick, Enclave Premium FWD, 14990, Excellent Price, 92285, 
Used 2018 Buick, Enclave Premium FWD, 14990, Excellent Price, 92285, 
Used 2018 Buick, Envision Premium AWD, 14900, Excellent Price, 107760, 
Used 2018 Buick, Encore Sport Touring AWD, 15998, Fair Price, 70551, 
Used 2018 Buick, Encore Preferred FWD, 9995, Excellent Price, 109039, 
Used 2018 Buick, Regal Sportback Essence FWD, 13900, Excellent Price, 101779, 
Used 2018 Buick, Envision Premium AWD, 17477, Fair Price, 77231, 
Used 2018 Buick, Encore Essence AWD, 21998, Fair Price, 10914, 
Used 2018 Buick, Encore Preferred FWD, 12495, Great Price, 37935, 
Used 2018 Buick, Encore Sport Touring FWD, 12900, Great Price, 76259, 
Used 2018 Buick, LaCrosse Essence FWD, 21998, Great Price, 34595, 
Used 2018 Buick, Encore Preferred FWD, 10777, High Price, 79986, 
Used 2018 Buick, Encore Sport Touring AWD, 15911, Great Price, 36495, 
Used 2018 Buick, Enclave Avenir AWD, 17495, Great Price, 95299, 
Used 2018 Buick, Encore Preferred FWD, 11495, Fair Price, 104022, 
Used 2018 Buick, Envision Preferred FWD, 17995, High Price, 60301, 
Used 2018 Buick, Encore Preferred AWD, 13000, High Price, 68784, 
Used 2018 Buick, Enclave Avenir AWD, 17543, High Price, 112417, 
Used 2018 Buick, Regal TourX Essence, 18995, Fair Price, 79165, 
