Year/Make, Model, Price, Rating, Mileage
Used 2018 Cadillac, XT5 Premium Luxury AWD, 20998, Excellent Price, 84231
Used 2018 Cadillac, XTS Luxury FWD, 12996, Excellent Price, 103869
Used 2018 Cadillac, XTS Luxury AWD, 16999, Great Price, 89920
Used 2018 Cadillac, XT5 Luxury AWD, 22957, Great Price, 32929
Used 2018 Cadillac, XT5 AWD, 20500, Fair Price, 60746
Used 2018 Cadillac, CT6 Platinum 3.6 AWD, 35998, Great Price, 67646
Used 2018 Cadillac, Escalade Premium Luxury 4WD, 26966, High Price, 108693
Used 2018 Cadillac, Escalade Luxury 4WD, 20000, Fair Price, 166841
Used 2018 Cadillac, CT6 3.6 AWD, 31977, High Price, 12023
Used 2018 Cadillac, XT5 Luxury AWD, 21460, High Price, 67583
Used 2018 Cadillac, Escalade Luxury 4WD, 27995, Great Price, 104035
Used 2018 Cadillac, ATS Premium Luxury Sedan 3.6 AWD, 23400, Excellent Price, 21056
Used 2018 Cadillac, Escalade ESV Luxury 2WD, 17793, Excellent Price, 161149
Used 2018 Cadillac, XT5 AWD, 17500, Fair Price, 92431
Used 2018 Cadillac, ATS Luxury Coupe 2.0T RWD, 15777, Great Price, 57288
Used 2018 Cadillac, Escalade Luxury 4WD, 36495, Great Price, 65464
Used 2018 Cadillac, Escalade ESV Luxury 4WD, 27595, Fair Price, 92722
Used 2018 Cadillac, XT5 AWD, 14950, High Price, 88733
Used 2018 Cadillac, XT5 Luxury AWD, 20000, High Price, 74099
Used 2018 Cadillac, Escalade ESV Luxury 4WD, 39995, High Price, 62987
Used 2018 Cadillac, XT5 Luxury AWD, 19122, Fair Price, 80968
Used 2018 Cadillac, Escalade Platinum 4WD, 36995, High Price, 92578
Used 2018 Cadillac, Escalade Platinum 4WD, 34995, Fair Price, 88708
Used 2018 Cadillac, ATS Premium Luxury Sedan 3.6 AWD, 21200, Great Price, 47795
Used 2018 Cadillac, CT6 Platinum 3.0T AWD, 18989, High Price, 132385
Used 2018 Cadillac, Escalade Luxury 4WD, 26250, High Price, 101333
Used 2018 Cadillac, Escalade Platinum 4WD, 28981, High Price, 94344
