Year/Make, Model, Price, Rating, Mileage
Used 2021 Cadillac, XT4 Sport AWD, 23985, Excellent Price, 50697, 
Used 2021 Cadillac, Escalade Premium Luxury Platinum 4WD, 57000, Excellent Price, 66788, 
Used 2021 Cadillac, Escalade ESV Premium Luxury Platinum 4WD, 47765, Excellent Price, 116143, 
Used 2021 Cadillac, XT6 Sport AWD, 24950, Excellent Price, 81776, 
Used 2021 Cadillac, Escalade Premium Luxury Platinum 4WD, 57000, Excellent Price, 66788, 
Used 2021 Cadillac, XT4 Premium Luxury AWD, 26600, Excellent Price, 42825, 
Used 2021 Cadillac, Escalade Sport Platinum 4WD, 55790, Great Price, 83696, 
Used 2021 Cadillac, XT5 Premium Luxury AWD, 29000, Great Price, 49537, 
Used 2021 Cadillac, Escalade ESV Premium Luxury 4WD, 52884, Excellent Price, 72888, 
Used 2021 Cadillac, XT5 Premium Luxury AWD, 30000, Fair Price, 37324, 
Used 2021 Cadillac, CT4 Premium Luxury, 29360, Great Price, 19024, 
Used 2021 Cadillac, XT4 Sport AWD, 23985, Excellent Price, 50697, 
Used 2021 Cadillac, XT5 Sport AWD, 30500, Great Price, 37070, 
Used 2021 Cadillac, XT5 Premium Luxury FWD, 23500, Great Price, 70409, 
Used 2021 Cadillac, Escalade Premium Luxury Platinum 4WD, 66500, Excellent Price, 35280, 
Used 2021 Cadillac, Escalade Sport Platinum 4WD, 70285, Great Price, 42714, 
Used 2021 Cadillac, Escalade Premium Luxury Platinum 4WD, 56854, Excellent Price, 71336, 
Used 2021 Cadillac, CT5 Premium Luxury, 33998, Great Price, 34003, 
Used 2021 Cadillac, CT4 Premium Luxury, 26500, Great Price, 29550, 
Used 2021 Cadillac, Escalade Luxury 4WD, 49444, Fair Price, 87128, 
Used 2021 Cadillac, XT6 Premium Luxury AWD, 30601, Great Price, 55843, 
Used 2021 Cadillac, CT5 Luxury, 27998, Great Price, 42257, 
Used 2021 Cadillac, CT5 Premium Luxury, 34500, Fair Price, 29566, 
Used 2021 Cadillac, Escalade Premium Luxury 4WD, 55995, Fair Price, 74000, 
Used 2021 Cadillac, Escalade Sport 4WD, 57995, Great Price, 57354, 
Used 2021 Cadillac, XT4 Luxury FWD, 26998, High Price, 29060, 
Used 2021 Cadillac, CT5 Premium Luxury, 24700, Excellent Price, 29453, 
Used 2021 Cadillac, XT6 Premium Luxury AWD, 33547, Fair Price, 49387, 
Used 2021 Cadillac, Escalade Sport Platinum 4WD, 71930, Fair Price, 58801, 
Used 2021 Cadillac, Escalade Premium Luxury 4WD, 66998, High Price, 49027, 
Used 2021 Cadillac, Escalade ESV Sport 4WD, 64995, High Price, 55733, 
Used 2021 Cadillac, Escalade ESV Premium Luxury RWD, 52995, High Price, 87621, 
Used 2021 Cadillac, Escalade Sport Platinum 4WD, 69999, Fair Price, 45975, 
Used 2021 Cadillac, XT5 Premium Luxury AWD, 25399, Fair Price, 60846, 
Used 2021 Cadillac, Escalade Sport 4WD, 52995, Fair Price, 103813, 
Used 2021 Cadillac, XT5 Sport AWD, 28777, High Price, 58296, 
Used 2021 Cadillac, Escalade ESV Premium Luxury RWD, 52995, High Price, 87621, 
Used 2021 Cadillac, Escalade ESV Sport 4WD, 64995, High Price, 55733, 
Used 2021 Cadillac, Escalade Luxury RWD, 51899, Fair Price, 52894, 
Used 2021 Cadillac, XT5 Premium Luxury AWD, 36500, High Price, 13702, 
Used 2021 Cadillac, CT5 Premium Luxury, 32995, Fair Price, 44034, 
Used 2021 Cadillac, XT6 Sport AWD, 37992, Fair Price, 34264, 
Used 2021 Cadillac, Escalade Sport Platinum 4WD, 60700, Fair Price, 88791, 
Used 2021 Cadillac, XT6 Premium Luxury AWD, 31900, High Price, 48832, 
Used 2021 Cadillac, XT6 Premium Luxury AWD, 33675, Fair Price, 47588, 
Used 2021 Cadillac, XT5 Premium Luxury FWD, 32997, Fair Price, 20637, 
Used 2021 Cadillac, Escalade ESV Luxury RWD, 52444, High Price, 72469, 
Used 2021 Cadillac, Escalade Premium Luxury Platinum 4WD, 66995, Great Price, 51540, 
Used 2021 Cadillac, XT5 Premium Luxury AWD, 25450, High Price, 50136, 
Used 2021 Cadillac, XT6 Premium Luxury AWD, 36500, High Price, 26510, 
Used 2021 Cadillac, XT5 Premium Luxury AWD, 27575, High Price, 48695, 
Used 2021 Cadillac, XT6 Premium Luxury AWD, 31500, Fair Price, 48097, 
Used 2021 Cadillac, Escalade Sport 4WD, 59576, Fair Price, 66847, 
Used 2021 Cadillac, XT6 Premium Luxury AWD, 36591, Fair Price, 36496, 
Used 2021 Cadillac, CT5 Luxury, 41180, High Price, 39376, 
Used 2021 Cadillac, XT5 Premium Luxury FWD, 30995, High Price, 36880, 
Used 2021 Cadillac, XT5 Premium Luxury FWD, 28777, High Price, 56870, 
Used 2021 Cadillac, XT5 Premium Luxury AWD, 29995, High Price, 50311, 
