Year/Make, Model, Price, Rating, Mileage
Used 2024 Chrysler, Pacifica Touring L FWD, 26992, Great Price, 50905, 
Used 2024 Chrysler, Pacifica Limited FWD, 39524, Excellent Price, 16084, 
Used 2024 Chrysler, Pacifica Hybrid S FWD, 36861, Excellent Price, 20727, 
Used 2024 Chrysler, Pacifica Touring L FWD, 25400, Great Price, 61130, 
Used 2024 Chrysler, Pacifica Touring L FWD, 27999, Excellent Price, 28690, 
Used 2024 Chrysler, Pacifica Touring FWD, 30988, Fair Price, 32416, 
Used 2024 Chrysler, Pacifica Hybrid Select FWD, 28340, Fair Price, 56373, 
Used 2024 Chrysler, Pacifica Hybrid Select FWD, 29280, Great Price, 53735, 
Used 2024 Chrysler, Pacifica Touring L FWD, 26900, Great Price, 59980, 
Used 2024 Chrysler, Pacifica Touring FWD, 31995, High Price, 33566, 
Used 2024 Chrysler, Pacifica Limited FWD, 38911, Excellent Price, 11277, 
Used 2024 Chrysler, Pacifica Touring FWD, 28899, Fair Price, 59293, 
Used 2024 Chrysler, Pacifica Touring FWD, 33977, Fair Price, 20415, 
Used 2024 Chrysler, Pacifica Touring L FWD, 28998, Fair Price, 49202, 
Used 2024 Chrysler, Pacifica Touring FWD, 29829, High Price, 48730, 
