Year/Make, Model, Price, Rating, Mileage
Used 2012 FIAT, 500 Abarth Hatch, 7450, Excellent Price, 5687, 
Used 2017 FIAT, 500e Hatchback, 8000, Excellent Price, 38579, 
Used 2012 FIAT, 500 Sport Hatch, 3450, Excellent Price, 137680, 
Used 2016 FIAT, 500X Easy AWD, 6495, Excellent Price, 107119, 
Used 2013 FIAT, 500 Abarth Hatch, 5900, Excellent Price, 112374, 
Used 2013 FIAT, 500 Pop Cabrio, 6500, Excellent Price, 103926, 
Used 2017 FIAT, 500L Trekking, 10799, Excellent Price, 46407, 
Used 2014 FIAT, 500L Easy, 6411, Excellent Price, 64972, 
Used 2012 FIAT, 500 Pop Cabrio, 6764, Great Price, 51652, 
Used 2015 FIAT, 500 Sport Hatch, 5900, Excellent Price, 96387, 
Used 2017 FIAT, 500 Pop Hatch, 7990, Excellent Price, 58436, 
Used 2016 FIAT, 500e Hatchback, 5995, Great Price, 62134, 
Used 2017 FIAT, 124 Spider Classica, 17595, Excellent Price, 12547, 
Used 2019 FIAT, 500X Trekking, 10440, Excellent Price, 122584, 
Used 2019 FIAT, 124 Spider Urbana Edition, 20795, Excellent Price, 10498, 
Used 2013 FIAT, 500 Pop Cabrio, 6995, Great Price, 63103, 
Used 2012 FIAT, 500 Sport Hatch, 6995, Excellent Price, 31073, 
Used 2016 FIAT, 500X Trekking AWD, 6995, Excellent Price, 105657, 
Used 2012 FIAT, 500 Pop Hatch, 5599, Fair Price, 83027, 
Used 2017 FIAT, 500X Trekking FWD, 15998, Fair Price, 31140, 
Used 2017 FIAT, 500X Lounge AWD, 14295, Fair Price, 40339, 
Used 2015 FIAT, 500 Sport Hatch, 13599, Fair Price, 47395, 
Used 2016 FIAT, 500X Easy FWD, 7695, Great Price, 88556, 
Used 2012 FIAT, 500 Pop Hatch, 4995, High Price, 78888, 
Used 2019 FIAT, 500 Retro Cabrio, 20998, High Price, 29786, 
Used 2013 FIAT, 500 Sport Hatch, 6995, Fair Price, 65820, 
Used 2014 FIAT, 500L Easy, 7995, High Price, 56040, 
Used 2013 FIAT, 500 Pop Cabrio, 3990, Excellent Price, 87567, 
Used 2014 FIAT, 500L Lounge, 6995, High Price, 105414, 
