Used 2024 Ford, Mustang GT Premium Fastback, $51,950, High Price, 24 miles, 
Used 2024 Ford, F-150 XLT SuperCrew 5.5' Box 4WD, $48,000, Great Price, 1,787 miles, 
Used 2024 Ford, Mustang EcoBoost Fastback, $27,895, Excellent Price, 7,869 miles, 
Used 2024 Ford, F-150 XLT SuperCrew 5.5' Box 4WD, $40,999, Excellent Price, 12,653 miles, 
Used 2024 Ford, Ranger XLT SuperCrew 5' Box 4WD, $37,699, Excellent Price, 2,644 miles, 
Used 2024 Ford, Escape Active AWD, $21,116, Excellent Price, 26,712 miles, 
Used 2024 Ford, Escape ST-Line FWD, $21,000, Excellent Price, 14,747 miles, 
Used 2024 Ford, Edge ST-Line, $32,597, Excellent Price, 5,812 miles, 
Used 2024 Ford, Mustang Mach-E Select RWD, $27,900, Excellent Price, 11,462 miles, 
Used 2024 Ford, Mustang Mach-E Select AWD, $31,899, Excellent Price, 6,652 miles, 
Used 2024 Ford, F-150 XLT SuperCrew 5.5' Box 4WD, $40,000, Excellent Price, 27,423 miles, 
Used 2024 Ford, Mustang Mach-E Premium RWD, $34,998, Excellent Price, 7,750 miles, 
Used 2024 Ford, Mustang EcoBoost Fastback, $27,895, Excellent Price, 7,869 miles, 
Used 2024 Ford, Escape Plug-In Hybrid FWD, $27,000, Excellent Price, 8,960 miles, 
Used 2024 Ford, Edge SEL, $21,951, Excellent Price, 38,658 miles, 
Used 2024 Ford, Bronco Sport Big Bend, $22,700, Great Price, 49,608 miles, 
Used 2024 Ford, Mustang GT Fastback, $40,200, Excellent Price, 7,604 miles, 
Used 2024 Ford, Edge SEL, $29,398, Great Price, 4,379 miles, 
Used 2024 Ford, Escape Active AWD, $25,426, Great Price, 4,640 miles, 
Used 2024 Ford, Edge SEL, $22,171, Great Price, 43,563 miles, 
Used 2024 Ford, F-150 STX SuperCrew 5.5' Box 4WD, $39,900, Excellent Price, 1,820 miles, 
Used 2024 Ford, Edge SEL, $22,645, Excellent Price, 39,957 miles, 
Used 2024 Ford, Bronco Big Bend 4 Door 4WD, $38,895, Great Price, 6,704 miles, 
Used 2024 Ford, Mustang Mach-E GT AWD, $35,900, Great Price, 24,628 miles, 
Used 2024 Ford, F-150 XLT SuperCrew 5.5' Box 4WD, $42,500, Great Price, 44,069 miles, 
Used 2024 Ford, Edge SEL, $24,998, Great Price, 34,255 miles, 
Used 2024 Ford, F-150 XLT SuperCrew 5.5' Box 4WD, $49,998, Great Price, 2,570 miles, 
Used 2024 Ford, Bronco Wildtrak 4 Door Advanced 4WD, $53,199, Great Price, 12,203 miles, 
