Year/Make, Model, Price, Rating, Mileage
Used 2020 Honda, Civic EX Sedan CVT, 23375, High Price, 39425, 
Used 2020 Honda, Accord Sport 1.5T CVT, 24950, High Price, 43641, 
Used 2020 Honda, Civic Sport Hatchback CVT, 22950, High Price, 53733, 
Used 2020 Honda, Civic Touring Sedan CVT, 23998, Excellent Price, 37379, 
Used 2020 Honda, Accord Hybrid Touring CVT, 27998, Excellent Price, 39215, 
Used 2020 Honda, Accord EX 1.5T CVT, 17995, Great Price, 86420, 
Used 2020 Honda, Civic LX Sedan CVT, 10750, Excellent Price, 201474, 
Used 2020 Honda, Civic LX Coupe CVT, 16691, Excellent Price, 76423, 
Used 2020 Honda, Civic LX Sedan CVT, 19998, Great Price, 53285, 
Used 2020 Honda, Civic Sport Hatchback CVT, 21000, Great Price, 51518, 
Used 2020 Honda, Civic LX Sedan CVT, 18584, Great Price, 47348, 
Used 2020 Honda, Accord Hybrid EX-L CVT, 22980, Great Price, 73128, 
Used 2020 Honda, Accord LX 1.5T CVT, 19903, Great Price, 71590, 
Used 2020 Honda, Odyssey EX-L, 21900, Excellent Price, 119170, 
Used 2020 Honda, Civic Sport Sedan CVT, 21998, Great Price, 56120, 
Used 2020 Honda, Civic LX Hatchback CVT, 20998, Great Price, 58159, 
Used 2020 Honda, Fit EX CVT, 16980, Great Price, 70306, 
Used 2020 Honda, CR-V EX AWD, 21598, Great Price, 90372, 
Used 2020 Honda, CR-V Hybrid Touring AWD, 25995, Great Price, 75230, 
Used 2020 Honda, Civic Sport Sedan Manual, 22998, Fair Price, 43209, 
Used 2020 Honda, Accord Sport 1.5T CVT, 20995, Excellent Price, 61005, 
Used 2020 Honda, CR-V Hybrid EX-L AWD, 27998, Great Price, 50135, 
Used 2020 Honda, CR-V EX-L AWD, 18900, Great Price, 131619, 
Used 2020 Honda, Passport Elite AWD, 27500, Great Price, 54824, 
Used 2020 Honda, Civic EX Hatchback CVT, 18000, Great Price, 107624, 
Used 2020 Honda, CR-V Touring AWD, 23801, Great Price, 82000, 
Used 2020 Honda, Insight Touring, 18788, Great Price, 70225, 
Used 2020 Honda, Odyssey EX-L, 28018, Great Price, 53998, 
Used 2020 Honda, Accord EX 1.5T CVT, 23499, Great Price, 33541, 
Used 2020 Honda, Civic Sport Sedan CVT, 17000, Great Price, 101576, 
Used 2020 Honda, Civic Si Sedan, 23163, Great Price, 48207, 
Used 2020 Honda, CR-V LX AWD, 18099, Great Price, 101370, 
Used 2020 Honda, Pilot EX AWD, 22450, Excellent Price, 59622, 
