Year/Make, Model, Price, Rating, Mileage
Used 2024 Jaguar, XF R-Dynamic SE Sedan RWD, 37488, Excellent Price, 2791, 
Used 2024 Jaguar, XF R-Dynamic SE Sedan AWD, 40790, Great Price, 7561, 
Used 2024 Jaguar, I-PACE 2024.5 R-Dynamic HSE AWD, 60151, Excellent Price, 3596, 
Used 2024 Jaguar, XF R-Dynamic SE Sedan AWD, 42950, Great Price, 4195, 
Used 2024 Jaguar, XF R-Dynamic SE Sedan AWD, 42950, Great Price, 6683, 
Used 2024 Jaguar, XF R-Dynamic SE Sedan AWD, 43950, Fair Price, 3774, 
Used 2024 Jaguar, F-PACE R-Dynamic S P250, 39500, Excellent Price, 28718, 
Used 2024 Jaguar, XF R-Dynamic SE Sedan AWD, 43590, Fair Price, 4826, 
Used 2024 Jaguar, XF R-Dynamic SE Sedan AWD, 44995, High Price, 14017, 
Used 2024 Jaguar, XF R-Dynamic SE Sedan AWD, 47995, High Price, 3935, 
Used 2024 Jaguar, F-PACE R-Dynamic S P400, 56990, High Price, 9889, 
Used 2024 Jaguar, I-PACE 2024.5 R-Dynamic HSE AWD, 71513, High Price, 5000, 
Used 2024 Jaguar, F-PACE R-Dynamic S P250, 67053, High Price, 1352, 
Used 2024 Jaguar, F-PACE R-Dynamic S P400, 59898, High Price, 5277, 
