Year/Make, Model, Price, Rating, Mileage
Used 2019 Kia, Sorento EX V6 AWD, 12838, Excellent Price, 112621
Used 2019 Kia, Forte LXS IVT, 7295, Excellent Price, 127675
Used 2019 Kia, Sorento LX V6 AWD, 13000, Excellent Price, 101883
Used 2019 Kia, Soul Base Automatic, 9399, Excellent Price, 86657
Used 2019 Kia, Optima EX, 13777, Excellent Price, 43650
Used 2019 Kia, Forte LXS IVT, 8750, Great Price, 101400
Used 2019 Kia, Optima EX, 9999, Excellent Price, 117709
Used 2019 Kia, Forte S IVT, 9499, Excellent Price, 113083
Used 2019 Kia, Sorento LX I4 FWD, 6800, Excellent Price, 175378
Used 2019 Kia, Sportage SX Turbo FWD, 22998, Excellent Price, 8930
Used 2019 Kia, Sorento LX I4 AWD, 16000, Great Price, 68780
Used 2019 Kia, Sorento LX I4 AWD, 13703, Great Price, 81073
Used 2019 Kia, Sorento LX I4 AWD, 16995, Great Price, 47705
Used 2019 Kia, Sorento EX V6 AWD, 12838, Excellent Price, 112621
Used 2019 Kia, Sorento LX V6 AWD, 12800, Excellent Price, 83010
Used 2019 Kia, Sportage EX AWD, 14985, Excellent Price, 66075
Used 2019 Kia, Forte LXS IVT, 12500, Excellent Price, 51986
Used 2019 Kia, Optima LX, 10400, Excellent Price, 122538
Used 2019 Kia, Forte S IVT, 15995, Fair Price, 33353
Used 2019 Kia, Soul + Automatic, 7990, Excellent Price, 94396
Used 2019 Kia, Sedona EX, 17195, Excellent Price, 45919
Used 2019 Kia, Optima SX Turbo, 14777, Excellent Price, 47074
Used 2019 Kia, Niro Hybrid EX, 16000, Great Price, 57330
Used 2019 Kia, Sorento LX V6 AWD, 18795, Excellent Price, 60695
Used 2019 Kia, Sportage SX Turbo AWD, 17000, Fair Price, 90623
Used 2019 Kia, Optima Hybrid EX, 16995, Great Price, 42891
Used 2019 Kia, Rio LX Sedan, 5990, Excellent Price, 105370
Used 2019 Kia, Optima EX, 18998, Excellent Price, 47688
Used 2019 Kia, Soul + Automatic, 9500, Excellent Price, 111708
Used 2019 Kia, Optima S, 10596, Excellent Price, 87601
Used 2019 Kia, Optima SX Turbo, 15596, Great Price, 76718
Used 2019 Kia, Sorento SX Limited V6 AWD, 15343, Excellent Price, 103713
Used 2019 Kia, Forte LXS IVT, 10480, Excellent Price, 95495
Used 2019 Kia, Niro Hybrid S Touring, 16998, Fair Price, 96000
Used 2019 Kia, Sorento EX Sport V6 FWD, 19499, Fair Price, 43994
Used 2019 Kia, Soul ! Automatic, 14497, Excellent Price, 56138
Used 2019 Kia, Sportage SX Turbo AWD, 17000, Excellent Price, 73075
Used 2019 Kia, Sorento LX V6 AWD, 15998, Fair Price, 95460
Used 2019 Kia, Optima EX, 18988, Great Price, 29683
Used 2019 Kia, Sorento EX V6 AWD, 13981, Excellent Price, 86368
Used 2019 Kia, Sorento EX Sport V6 AWD, 11975, Excellent Price, 132803
Used 2019 Kia, Stinger GT AWD, 25500, Fair Price, 38712
Used 2019 Kia, Sorento LX I4 AWD, 15152, Excellent Price, 73148
Used 2019 Kia, Sorento SX V6 AWD, 24998, Great Price, 29975
Used 2019 Kia, Optima S, 9750, Excellent Price, 99864
Used 2019 Kia, Sorento LX I4 AWD, 17000, Fair Price, 67094
Used 2019 Kia, Sportage EX AWD, 18750, Fair Price, 37411
Used 2019 Kia, Sorento S V6 FWD, 18995, Fair Price, 49293
Used 2019 Kia, Soul + Automatic, 13495, Great Price, 25920
Used 2019 Kia, Forte S IVT, 15998, Fair Price, 67091
Used 2019 Kia, Sorento LX I4 FWD, 15400, Fair Price, 77173
Used 2019 Kia, Soul + Automatic, 14998, High Price, 79811
Used 2019 Kia, Sorento LX I4 FWD, 12395, High Price, 105279
Used 2019 Kia, Sorento LX I4 FWD, 17995, Fair Price, 69113
Used 2019 Kia, Forte LXS IVT, 13000, Excellent Price, 56800
Used 2019 Kia, Optima LX, 6481, Great Price, 236552
Used 2019 Kia, Niro EV EX, 5755, Excellent Price, 116797
Used 2019 Kia, Sorento SX V6 FWD, 20998, Fair Price, 66431
