Used 2020 Kia, Niro EV EX Premium, $14,995, Excellent Price, 50,443 miles, 
Used 2020 Kia, Sportage S AWD, $15,998, Excellent Price, 83,741 miles, 
Used 2020 Kia, Sorento S V6 AWD, $14,901, Excellent Price, 103,246 miles, 
Used 2020 Kia, Sportage SX Turbo AWD, $22,998, Excellent Price, 32,632 miles, 
Used 2020 Kia, Niro EV EX Premium, $17,949, Excellent Price, 21,921 miles, 
Used 2020 Kia, Niro EV EX Premium, $22,998, Great Price, 16,256 miles, 
Used 2020 Kia, Telluride EX AWD, $27,998, Great Price, 58,437 miles, 
Used 2020 Kia, Sorento SX V6 AWD, $25,998, Great Price, 50,878 miles, 
Used 2020 Kia, Niro EV EX, $16,985, Great Price, 37,761 miles, 
Used 2020 Kia, Sorento LX V6 AWD, $13,000, Great Price, 105,054 miles, 
Used 2020 Kia, Soul S IVT, $9,999, Excellent Price, 105,787 miles, 
Used 2020 Kia, Rio LX Sedan IVT, $9,900, Excellent Price, 84,082 miles, 
Used 2020 Kia, Optima LX Automatic, $11,704, Great Price, 116,205 miles, 
Used 2020 Kia, Soul S IVT, $10,994, Excellent Price, 76,353 miles, 
Used 2020 Kia, Soul LX IVT, $9,379, Fair Price, 128,962 miles, 
Used 2020 Kia, Telluride S AWD, $17,995, Great Price, 107,380 miles, 
Used 2020 Kia, Stinger GT1 AWD, $26,900, Great Price, 53,602 miles, 
Used 2020 Kia, Niro EV EX Premium, $17,950, Great Price, 43,122 miles, 
Used 2020 Kia, Sportage SX Turbo AWD, $23,998, Excellent Price, 29,860 miles, 
Used 2020 Kia, Forte GT DCT, $15,750, Great Price, 52,846 miles, 
Used 2020 Kia, Sorento SX V6 AWD, $22,556, Great Price, 59,254 miles, 
Used 2020 Kia, Forte GT-Line IVT, $11,900, Excellent Price, 82,185 miles, 
Used 2020 Kia, Soul EX IVT, $15,299, Fair Price, 61,496 miles, 
Used 2020 Kia, Optima LX Automatic, $12,500, Excellent Price, 80,990 miles, 
Used 2020 Kia, Telluride EX FWD, $19,999, Great Price, 90,585 miles, 
Used 2020 Kia, Optima S Automatic, $15,781, Excellent Price, 53,978 miles, 
Used 2020 Kia, Telluride LX AWD, $20,995, Fair Price, 70,739 miles, 
Used 2020 Kia, Telluride SX AWD, $32,998, Fair Price, 55,415 miles, 
Used 2020 Kia, Sorento LX V6 AWD, $14,750, Great Price, 99,227 miles, 
Used 2020 Kia, Forte LXS IVT, $16,998, Great Price, 52,063 miles, 
Used 2020 Kia, Optima LX Automatic, $10,850, Excellent Price, 93,208 miles, 
Used 2020 Kia, Telluride S FWD, $16,950, Great Price, 102,731 miles, 
Used 2020 Kia, Telluride S AWD, $25,998, Fair Price, 79,924 miles, 
Used 2020 Kia, Sportage LX FWD, $14,987, Great Price, 66,638 miles, 
Used 2020 Kia, Sorento LX AWD, $16,495, Great Price, 70,786 miles, 
Used 2020 Kia, Soul LX IVT, $10,970, Excellent Price, 78,870 miles, 
Used 2020 Kia, Soul LX IVT, $11,950, Great Price, 91,625 miles, 
Used 2020 Kia, Sportage LX FWD, $14,900, Great Price, 68,442 miles, 
Used 2020 Kia, Soul LX IVT, $14,998, High Price, 82,564 miles, 
Used 2020 Kia, Forte LXS IVT, $16,998, Fair Price, 50,693 miles, 
Used 2020 Kia, Sorento SX V6 AWD, $23,825, Fair Price, 55,076 miles, 
Used 2020 Kia, Telluride SX AWD, $23,995, Great Price, 98,517 miles, 
Used 2020 Kia, Sportage S AWD, $15,500, Excellent Price, 82,387 miles, 
Used 2020 Kia, Sorento LX FWD, $16,248, Fair Price, 76,857 miles, 
Used 2020 Kia, Soul LX IVT, $12,495, Fair Price, 70,907 miles, 
Used 2020 Kia, Soul EX IVT, $17,490, High Price, 33,471 miles, 
Used 2020 Kia, Sportage LX AWD, $11,995, Excellent Price, 91,845 miles, 
Used 2020 Kia, Optima LX Automatic, $11,900, High Price, 101,899 miles, 
Used 2020 Kia, Sedona EX, $17,491, High Price, 104,998 miles, 
Used 2020 Kia, Soul EX IVT, $15,500, Excellent Price, 22,674 miles, 
