Year/Make, Model, Price, Rating, Mileage
Used 2018 Lincoln, MKX Reserve AWD, 16995, Excellent Price, 78817, 
Used 2018 Lincoln, MKX Select AWD, 16000, Great Price, 69889, 
Used 2018 Lincoln, MKX Select AWD, 19998, Excellent Price, 72801, 
Used 2018 Lincoln, Continental Reserve AWD, 23500, Excellent Price, 49985, 
Used 2018 Lincoln, Navigator Reserve 4WD, 28800, Fair Price, 99364, 
Used 2018 Lincoln, Navigator Black Label 4WD, 29496, Fair Price, 105409, 
Used 2018 Lincoln, MKZ Reserve FWD, 18700, High Price, 28521, 
Used 2018 Lincoln, MKZ Reserve AWD, 15900, Excellent Price, 52976, 
Used 2018 Lincoln, Navigator Select 4WD, 28500, High Price, 95592, 
Used 2018 Lincoln, Navigator L Reserve 4WD, 27544, High Price, 121647, 
Used 2018 Lincoln, Navigator Reserve 4WD, 29950, High Price, 73430, 
Used 2018 Lincoln, MKZ Hybrid Reserve FWD, 13777, Fair Price, 75269, 
Used 2018 Lincoln, Continental Premiere AWD, 9200, Excellent Price, 118087, 
Used 2018 Lincoln, MKC Reserve AWD, 17595, High Price, 110563, 
Used 2018 Lincoln, Navigator Black Label 4WD, 23193, High Price, 162523, 
Used 2018 Lincoln, Navigator Black Label 4WD, 32995, High Price, 89523, 
