Year/Make, Model, Price, Rating, Mileage
Used 2019 MINI, S Hardtop 2-Door, 18500, Excellent Price, 50235, 
Used 2019 MINI, S Convertible, 18990, Excellent Price, 40976, 
Used 2019 MINI, S Hardtop 2-Door, 17855, Fair Price, 48432, 
Used 2019 MINI, S Hardtop 4-Door, 17998, Great Price, 65690, 
Used 2019 MINI, Countryman Cooper FWD, 13411, Great Price, 83533, 
Used 2019 MINI, Hardtop 4-Door, 18000, Great Price, 33478, 
Used 2019 MINI, Countryman Cooper FWD, 14990, Great Price, 72950, 
Used 2019 MINI, S Convertible, 24998, Fair Price, 26048, 
Used 2019 MINI, Clubman Cooper S FWD, 15880, Excellent Price, 62017, 
Used 2019 MINI, S Hardtop 4-Door, 22998, High Price, 33707, 
Used 2019 MINI, Countryman Cooper S ALL4, 19998, Fair Price, 51735, 
Used 2019 MINI, Hardtop 2 Door Oxford Edition FWD, 19295, Fair Price, 17614, 
Used 2019 MINI, Convertible, 18545, Excellent Price, 38787, 
Used 2019 MINI, Hardtop 2 Door Oxford Edition FWD, 18981, Fair Price, 32542, 
Used 2019 MINI, Countryman Cooper S FWD, 17950, Excellent Price, 64810, 
Used 2019 MINI, Hardtop 4-Door, 15500, High Price, 58527, 
Used 2019 MINI, Convertible John Cooper Works Convertible, 21950, Great Price, 64580, 
Used 2019 MINI, Countryman Cooper ALL4, 15884, High Price, 87501, 
Used 2019 MINI, Hardtop 2-Door, 15500, High Price, 60949, 
Used 2019 MINI, Clubman Cooper S FWD, 18950, Fair Price, 58309, 
Used 2019 MINI, Clubman Cooper ALL4, 14994, High Price, 87998, 
Used 2019 MINI, S Hardtop 2-Door, 17995, Fair Price, 68342, 
Used 2019 MINI, Countryman Cooper ALL4, 19750, High Price, 52950, 
Used 2019 MINI, Hardtop John Cooper Works Hardtop 2-Door, 25919, Fair Price, 33214, 
Used 2019 MINI, Clubman Cooper ALL4, 20995, High Price, 71108, 
Used 2019 MINI, Hardtop 2-Door, 15991, Fair Price, 48912, 
Used 2019 MINI, Hardtop 2-Door, 14995, High Price, 69169, 
