Year/Make, Model, Price, Rating, Mileage
Used 2022 Polestar, 2 Long Range Dual Motor AWD, 20195, Excellent Price, 52103, 
Used 2022 Polestar, 2 Long Range Dual Motor AWD, 21500, Excellent Price, 25493, 
Used 2022 Polestar, 2 Long Range Dual Motor AWD, 20500, Excellent Price, 49594, 
Used 2022 Polestar, 2 Long Range Dual Motor AWD, 23000, Excellent Price, 47729, 
Used 2022 Polestar, 2 Long Range Dual Motor AWD, 24429, Excellent Price, 20777, 
Used 2022 Polestar, 2 Long Range Dual Motor AWD, 25375, Great Price, 40655, 
Used 2022 Polestar, 2 Long Range Dual Motor AWD, 25980, Excellent Price, 29410, 
Used 2022 Polestar, 2 Long Range Dual Motor AWD, 23490, Great Price, 41986, 
Used 2022 Polestar, 2 Long Range Dual Motor AWD, 24311, Great Price, 23606, 
Used 2022 Polestar, 2 Long Range Dual Motor AWD, 22500, Great Price, 52617, 
Used 2022 Polestar, 2 Long Range Dual Motor AWD, 26390, Great Price, 29505, 
Used 2025 Polestar, 3 Launch Edition, 61980, Great Price, 8787, 
Used 2022 Polestar, 2 Long Range Dual Motor AWD, 24950, Great Price, 28988, 
Used 2022 Polestar, 2 Long Range Dual Motor AWD, 26980, Fair Price, 34717, 
Used 2022 Polestar, 2 Long Range Dual Motor AWD, 25375, Fair Price, 31928, 
Used 2023 Polestar, 2 Long Range Single Motor FWD, 16977, Excellent Price, 17884, 
Used 2021 Polestar, 2 Launch Edition Fastback, 23998, Great Price, 25158, 
Used 2022 Polestar, 2 Long Range Dual Motor AWD, 25790, Great Price, 30308, 
Used 2022 Polestar, 2 Long Range Dual Motor AWD, 29980, Fair Price, 26590, 
Used 2022 Polestar, 2 Long Range Dual Motor AWD, 25625, Fair Price, 39613, 
Used 2021 Polestar, 2 Launch Edition Fastback, 22950, Fair Price, 74604, 
Used 2024 Polestar, 2 Long Range Dual Motor AWD, 33986, Fair Price, 15441, 
Used 2022 Polestar, 2 Long Range Dual Motor AWD, 28980, High Price, 36619, 
Used 2022 Polestar, 2 Long Range Dual Motor AWD, 25950, Fair Price, 32898, 
Used 2022 Polestar, 2 Long Range Dual Motor AWD, 24190, Fair Price, 38152, 
Used 2022 Polestar, 2 Long Range Dual Motor AWD, 26490, Fair Price, 23557, 
Used 2022 Polestar, 2 Long Range Dual Motor AWD, 25825, Fair Price, 28895, 
Used 2021 Polestar, 2 Launch Edition Fastback, 24190, Fair Price, 36392, 
