Year/Make, Model, Price, Rating, Mileage
Used 2018 Subaru, Crosstrek 2.0i Premium CVT, 19158, Great Price, 42361
Used 2018 Subaru, Forester 2.5i Limited CVT, 15900, Excellent Price, 102008
Used 2018 Subaru, Outback 2.5i Premium, 14000, Great Price, 103853
Used 2018 Subaru, Crosstrek 2.0i Limited CVT, 16900, Excellent Price, 83717
Used 2018 Subaru, Impreza 2.0i Sport 5-door CVT, 16500, Excellent Price, 44416
Used 2018 Subaru, Legacy 2.5i Limited, 17998, Great Price, 95748
Used 2018 Subaru, Crosstrek 2.0i Limited CVT, 20999, Excellent Price, 22000
Used 2018 Subaru, WRX Base Manual, 17995, Excellent Price, 60255
Used 2018 Subaru, Crosstrek 2.0i CVT, 14995, Excellent Price, 97885
Used 2018 Subaru, Crosstrek 2.0i Premium CVT, 13999, Great Price, 81312
Used 2018 Subaru, WRX Premium Manual, 19995, Great Price, 51712
Used 2018 Subaru, Forester 2.5i Touring CVT, 17995, Great Price, 96071
Used 2018 Subaru, Crosstrek 2.0i Premium CVT, 19158, Great Price, 42361
Used 2018 Subaru, Forester 2.0XT Touring CVT, 15771, Great Price, 121471
Used 2018 Subaru, Crosstrek 2.0i Premium CVT, 17150, Excellent Price, 81930
Used 2018 Subaru, Crosstrek 2.0i Premium CVT, 17000, Great Price, 78142
Used 2018 Subaru, Legacy 2.5i Premium, 11155, Excellent Price, 119431
Used 2018 Subaru, Legacy 2.5i Limited, 16995, Excellent Price, 30118
Used 2018 Subaru, Crosstrek 2.0i Premium CVT, 12900, Excellent Price, 120293
Used 2018 Subaru, Forester 2.5i Touring CVT, 14400, Excellent Price, 138734
Used 2018 Subaru, Legacy 2.5i Premium, 14599, Fair Price, 127296
Used 2018 Subaru, Crosstrek 2.0i Limited CVT, 18883, Fair Price, 71847
Used 2018 Subaru, Outback 2.5i, 19431, Fair Price, 51800
Used 2018 Subaru, Crosstrek 2.0i Limited CVT, 16000, Great Price, 102440
Used 2018 Subaru, Crosstrek 2.0i Limited CVT, 14995, Fair Price, 121563
Used 2018 Subaru, Impreza 2.0i 4-door Manual, 12500, Excellent Price, 76511
Used 2018 Subaru, Forester 2.5i Premium CVT, 19490, Fair Price, 56134
Used 2018 Subaru, Impreza 2.0i Limited 5-door CVT, 19998, Excellent Price, 51987
Used 2018 Subaru, Forester 2.5i Premium CVT, 14179, Great Price, 115538
Used 2018 Subaru, Crosstrek 2.0i Limited CVT, 19500, Great Price, 71869
Used 2018 Subaru, Outback 3.6R Limited, 14967, Great Price, 131082
Used 2018 Subaru, Impreza 2.0i 5-door Manual, 16998, Fair Price, 74675
