Year/Make, Model, Price, Rating, Mileage
Used 2020 Volvo, S90 T6 Momentum AWD, 28998, Excellent Price, 37824, 
Used 2020 Volvo, S90 T6 Momentum AWD, 27998, Great Price, 56081, 
Used 2020 Volvo, XC40 T5 R-Design AWD, 25900, Great Price, 37586, 
Used 2020 Volvo, XC90 T6 Momentum 7 Passenger AWD, 31998, Great Price, 59388, 
Used 2020 Volvo, XC60 T6 Momentum AWD, 20500, Excellent Price, 78967, 
Used 2020 Volvo, S60 T5 Momentum FWD, 18995, Great Price, 59764, 
Used 2020 Volvo, S60 T5 Inscription FWD, 19995, Excellent Price, 80469, 
Used 2020 Volvo, XC90 T6 Inscription 6 Passenger AWD, 35998, Great Price, 53041, 
Used 2020 Volvo, XC60 T5 Inscription FWD, 30998, Great Price, 33124, 
Used 2020 Volvo, S60 T6 R-Design AWD, 23998, Excellent Price, 62946, 
Used 2020 Volvo, XC90 T6 Inscription 7 Passenger AWD, 32000, Fair Price, 41692, 
Used 2020 Volvo, V60 Cross Country T5 AWD, 26000, Fair Price, 72550, 
Used 2020 Volvo, XC60 T5 Inscription AWD, 26495, Fair Price, 66750, 
Used 2020 Volvo, XC40 T4 R-Design FWD, 22797, Excellent Price, 60516, 
Used 2020 Volvo, S90 T6 Inscription AWD, 27790, Great Price, 64207, 
Used 2020 Volvo, XC60 T5 Momentum AWD, 27998, High Price, 40881, 
Used 2020 Volvo, S60 T5 Momentum FWD, 20998, High Price, 84805, 
Used 2020 Volvo, XC90 T6 Momentum 6 Passenger AWD, 30681, Great Price, 42567, 
Used 2020 Volvo, S60 T5 Momentum FWD, 21000, Fair Price, 52169, 
Used 2020 Volvo, XC40 T5 R-Design AWD, 23250, Fair Price, 62915, 
Used 2020 Volvo, S60 T6 Momentum AWD, 17495, Fair Price, 100990, 
Used 2020 Volvo, XC90 T6 Momentum 6 Passenger AWD, 28499, High Price, 78098, 
Used 2020 Volvo, XC90 T6 Momentum 7 Passenger AWD, 30000, High Price, 77155, 
Used 2020 Volvo, XC90 T6 Momentum 7 Passenger AWD, 32903, High Price, 47017, 
Used 2020 Volvo, XC40 T5 Momentum AWD, 19900, High Price, 91503, 
Used 2020 Volvo, XC40 T5 Momentum AWD, 23600, High Price, 48138, 
Used 2020 Volvo, XC60 T5 Inscription FWD, 27998, Fair Price, 59133, 
Used 2020 Volvo, XC40 T5 R-Design AWD, 25890, Fair Price, 39574, 
Used 2020 Volvo, XC40 T5 Momentum AWD, 21950, High Price, 60541, 
Used 2020 Volvo, S60 T5 Momentum FWD, 18995, High Price, 77108, 
