Used 2019 Cadillac, XT4 Premium Luxury AWD, $15,499, Excellent Price, 93,777 miles, 
Used 2019 Cadillac, XT4 Premium Luxury AWD, $17,990, Excellent Price, 73,098 miles, 
Used 2019 Cadillac, XT5 Luxury AWD, $15,795, Excellent Price, 93,611 miles, 
Used 2019 Cadillac, Escalade ESV Premium Luxury 4WD, $26,995, Excellent Price, 110,741 miles, 
Used 2019 Cadillac, Escalade ESV Luxury 4WD, $29,985, Great Price, 82,484 miles, 
Used 2019 Cadillac, XT5 Premium Luxury AWD, $14,870, Excellent Price, 115,568 miles, 
Used 2019 Cadillac, XT5 Luxury AWD, $20,995, Great Price, 54,710 miles, 
Used 2019 Cadillac, Escalade ESV Premium Luxury 4WD, $31,990, Great Price, 86,369 miles, 
Used 2019 Cadillac, XT4 Luxury AWD, $19,988, Excellent Price, 45,581 miles, 
Used 2019 Cadillac, XT4 Premium Luxury AWD, $21,327, Excellent Price, 58,977 miles, 
Used 2019 Cadillac, XT4 Premium Luxury AWD, $22,962, Great Price, 42,132 miles, 
Used 2019 Cadillac, XT5 Premium Luxury AWD, $19,559, Great Price, 80,220 miles, 
Used 2019 Cadillac, XT4 Luxury AWD, $22,500, Excellent Price, 19,342 miles, 
Used 2019 Cadillac, CT6 Sport 3.0T AWD, $30,799, Excellent Price, 62,990 miles, 
Used 2019 Cadillac, XT5 Luxury AWD, $15,046, Excellent Price, 116,083 miles, 
Used 2019 Cadillac, Escalade Luxury 4WD, $30,898, Fair Price, 75,168 miles, 
Used 2019 Cadillac, XT5 Luxury AWD, $20,290, Excellent Price, 54,698 miles, 
Used 2019 Cadillac, XT5 Luxury AWD, $17,481, Excellent Price, 66,591 miles, 
Used 2019 Cadillac, XT4 Luxury AWD, $21,477, Great Price, 35,763 miles, 
Used 2019 Cadillac, CT6 Premium Luxury 3.6 AWD, $32,000, Great Price, 39,527 miles, 
Used 2019 Cadillac, XT5 Platinum AWD, $24,458, Great Price, 62,845 miles, 
Used 2019 Cadillac, XT5 Luxury AWD, $18,299, Great Price, 85,337 miles, 
Used 2019 Cadillac, Escalade ESV Premium Luxury 4WD, $35,985, Fair Price, 69,716 miles, 
Used 2019 Cadillac, XT4 Sport FWD, $20,678, Fair Price, 57,039 miles, 
Used 2019 Cadillac, XT5 Premium Luxury AWD, $19,288, Fair Price, 82,393 miles, 
