Used 2022 Subaru, WRX Manual, $26,400, Fair Price, 14,375 miles, 
Used 2022 Subaru, Outback 2.4T Limited XT, $27,957, Great Price, 15,370 miles, 
Used 2022 Subaru, Forester Touring, $30,499, Great Price, 17,578 miles, 
Used 2022 Subaru, Forester Touring, $24,500, Excellent Price, 41,624 miles, 
Used 2022 Subaru, Forester 2.5i, $15,499, Excellent Price, 133,326 miles, 
Used 2022 Subaru, Outback 2.5i Premium, $17,499, Excellent Price, 96,884 miles, 
Used 2022 Subaru, Crosstrek 2.5i Limited CVT, $22,888, Excellent Price, 36,365 miles, 
Used 2022 Subaru, BRZ Premium Manual, $19,320, Excellent Price, 60,784 miles, 
Used 2022 Subaru, Impreza Premium 5-door CVT, $18,250, Excellent Price, 34,720 miles, 
Used 2022 Subaru, Forester Wilderness, $25,954, Excellent Price, 28,777 miles, 
Used 2022 Subaru, WRX Premium Manual, $23,690, Excellent Price, 39,215 miles, 
Used 2022 Subaru, Ascent Limited 8-Passenger, $26,995, Excellent Price, 49,297 miles, 
Used 2022 Subaru, Crosstrek 2.5i Limited CVT, $24,342, Excellent Price, 19,053 miles, 
Used 2022 Subaru, WRX Premium Manual, $24,665, Excellent Price, 27,133 miles, 
Used 2022 Subaru, Forester Premium, $24,996, Great Price, 47,402 miles, 
Used 2022 Subaru, Crosstrek 2.5i Limited CVT, $23,200, Excellent Price, 26,268 miles, 
Used 2022 Subaru, Crosstrek 2.5i Sport CVT, $24,996, Great Price, 35,914 miles, 
Used 2022 Subaru, Impreza Sedan CVT, $19,388, Great Price, 3,483 miles, 
Used 2022 Subaru, Crosstrek 2.5i Limited CVT, $25,995, Great Price, 30,708 miles, 
Used 2022 Subaru, Crosstrek 2.5i Limited CVT, $26,521, Great Price, 3,907 miles, 
Used 2022 Subaru, Outback 2.5i Premium, $24,274, Great Price, 17,591 miles, 
Used 2022 Subaru, Outback 2.5i Touring, $26,170, Great Price, 25,073 miles, 
Used 2022 Subaru, Outback 2.5i Touring, $26,812, Great Price, 30,560 miles, 
Used 2022 Subaru, WRX CVT, $24,995, Excellent Price, 32,618 miles, 
Used 2022 Subaru, Forester Limited, $29,996, Great Price, 18,002 miles, 
Used 2022 Subaru, Crosstrek 2.5i Sport CVT, $24,388, Great Price, 27,880 miles, 
Used 2022 Subaru, Legacy 2.5i Premium, $18,931, Great Price, 33,173 miles, 
