Used 2023 Mitsubishi, Outlander Plug-In Hybrid SEL S-AWC, $25,400, Excellent Price, 46,606 miles, 
Used 2024 Mitsubishi, Outlander Sport ES 2.0 AWC, $18,600, Excellent Price, 13,082 miles, 
Used 2023 Mitsubishi, Outlander Plug-In Hybrid SE S-AWC, $30,750, Excellent Price, 862 miles, 
Used 2022 Mitsubishi, Mirage ES CVT, $12,785, Excellent Price, 5 miles, 
Used 2024 Mitsubishi, Eclipse Cross SE S-AWC, $19,266, Excellent Price, 30,132 miles, 
Used 2015 Mitsubishi, Mirage DE Manual, $4,600, Excellent Price, 134,037 miles, 
Used 2022 Mitsubishi, Outlander Sport LE 2.0 AWC CVT, $18,500, Excellent Price, 21,591 miles, 
Used 2024 Mitsubishi, Eclipse Cross SE S-AWC, $26,000, Great Price, 18 miles, 
Used 2023 Mitsubishi, Outlander Plug-In Hybrid SE S-AWC, $32,000, Great Price, 5,013 miles, 
Used 2023 Mitsubishi, Outlander Plug-In Hybrid SEL S-AWC, $34,900, Great Price, 3,498 miles, 
Used 2022 Mitsubishi, Outlander SE S-AWC, $23,873, Great Price, 43,767 miles, 
Used 2024 Mitsubishi, Outlander SE FWD, $23,400, Great Price, 49,988 miles, 
Used 2023 Mitsubishi, Eclipse Cross LE S-AWC, $22,950, Fair Price, 5,031 miles, 
Used 2019 Mitsubishi, Outlander SEL FWD, $14,500, Great Price, 77,697 miles, 
Used 2022 Mitsubishi, Outlander SEL Special Edition S-AWC, $23,998, Excellent Price, 58,590 miles, 
Used 2020 Mitsubishi, Outlander ES FWD, $14,950, Excellent Price, 46,100 miles, 
Used 2023 Mitsubishi, Outlander Plug-In Hybrid ES S-AWC, $31,600, Fair Price, 5,011 miles, 
Used 2022 Mitsubishi, Outlander Sport ES 2.0 FWD CVT, $19,998, Great Price, 12,318 miles, 
Used 2024 Mitsubishi, Eclipse Cross SE S-AWC, $26,500, Fair Price, 1,287 miles, 
Used 2012 Mitsubishi, Eclipse GS Sport Spyder Automatic, $10,998, High Price, 85,651 miles, 
Used 2024 Mitsubishi, Eclipse Cross SE S-AWC, $26,500, Fair Price, 1,169 miles, 
Used 2019 Mitsubishi, Outlander Sport ES 2.0 FWD CVT, $11,988, High Price, 88,171 miles, 
Used 2022 Mitsubishi, Outlander SEL FWD, $26,998, High Price, 40,543 miles, 
Used 2008 Mitsubishi, Outlander ES AWD, $4,950, Great Price, 120,952 miles, 
Used 2023 Mitsubishi, Outlander SE FWD, $26,730, High Price, 15,177 miles, 
Used 2020 Mitsubishi, Eclipse Cross SEL S-AWC, $20,000, High Price, 42,054 miles, 
Used 2015 Mitsubishi, Lancer Evolution GSR Manual, $33,995, High Price, 47,392 miles, 
Used 2016 Mitsubishi, Outlander SE FWD, $11,998, High Price, 77,442 miles, 
Used 2020 Mitsubishi, Outlander ES S-AWC, $13,900, Great Price, 101,968 miles, 
Used 2023 Mitsubishi, Outlander SE FWD, $26,998, High Price, 18,265 miles, 
