Used 2022 Subaru, Crosstrek 2.5i Limited CVT, $26,800, Excellent Price, 10,210 miles, 
Used 2022 Subaru, WRX GT CVT, $28,600, Excellent Price, 49,572 miles, 
Used 2022 Subaru, Forester Touring, $30,200, Great Price, 29,403 miles, 
Used 2022 Subaru, Legacy 2.5i Limited, $23,900, Great Price, 44,213 miles, 
Used 2022 Subaru, Crosstrek 2.5i Limited CVT, $26,371, Great Price, 30,821 miles, 
Used 2022 Subaru, Outback 2.4T Limited XT, $29,998, Great Price, 28,961 miles, 
Used 2022 Subaru, Crosstrek 2.5i Limited CVT, $26,856, Fair Price, 25,091 miles, 
Used 2022 Subaru, Crosstrek 2.0i Premium CVT, $24,998, Fair Price, 47,062 miles, 
Used 2022 Subaru, Ascent Touring 7-Passenger, $34,500, Fair Price, 23,439 miles, 
Used 2022 Subaru, Forester Limited, $29,998, Great Price, 27,144 miles, 
Used 2022 Subaru, Outback 2.4T Wilderness, $30,998, Great Price, 36,394 miles, 
Used 2022 Subaru, Crosstrek 2.0i Premium CVT, $25,500, Fair Price, 24,769 miles, 
Used 2022 Subaru, Outback 2.5i Limited, $28,998, High Price, 30,054 miles, 
Used 2022 Subaru, Forester Touring, $31,099, Fair Price, 22,299 miles, 
Used 2022 Subaru, WRX Limited Manual, $28,998, Fair Price, 49,778 miles, 
Used 2022 Subaru, Crosstrek 2.5i Limited CVT, $27,068, Fair Price, 26,353 miles, 
Used 2022 Subaru, Crosstrek 2.5i Sport CVT, $26,607, Fair Price, 26,917 miles, 
Used 2022 Subaru, Ascent Onyx Edition 7-Passenger, $31,500, High Price, 47,323 miles, 
Used 2022 Subaru, WRX Manual, $24,309, Fair Price, 42,424 miles, 
Used 2022 Subaru, Outback 2.5i Premium, $27,000, High Price, 39,610 miles, 
Used 2022 Subaru, Crosstrek 2.5i Sport CVT, $24,998, Great Price, 34,652 miles, 
Used 2022 Subaru, Outback 2.4T Wilderness, $28,768, Fair Price, 50,765 miles, 
Used 2022 Subaru, Outback 2.4T Wilderness, $29,936, Great Price, 39,292 miles, 
Used 2022 Subaru, Outback 2.4T Limited XT, $28,995, Great Price, 55,721 miles, 
Used 2022 Subaru, Crosstrek 2.5i Sport CVT, $26,998, Fair Price, 35,772 miles, 
Used 2022 Subaru, Outback 2.4T Touring XT, $29,495, Great Price, 53,428 miles, 
Used 2022 Subaru, Outback 2.5i Limited, $28,495, Great Price, 34,034 miles, 
Used 2022 Subaru, WRX Limited Manual, $33,994, Great Price, 267 miles, 
Used 2022 Subaru, Crosstrek 2.0i Premium CVT, $25,995, Fair Price, 42,438 miles, 
Used 2022 Subaru, Outback 2.4T Onyx Edition XT, $31,999, High Price, 27,212 miles, 
Used 2022 Subaru, Crosstrek 2.0i Premium CVT, $25,995, Fair Price, 41,226 miles, 
Used 2022 Subaru, Outback 2.4T Onyx Edition XT, $32,495, Fair Price, 12,820 miles, 
Used 2022 Subaru, Crosstrek 2.5i Sport CVT, $28,495, Fair Price, 25,058 miles, 
Used 2022 Subaru, Legacy 2.5i Premium, $25,495, Fair Price, 24,502 miles, 
Used 2022 Subaru, Ascent Touring 7-Passenger, $29,084, High Price, 96,365 miles, 
Used 2022 Subaru, Ascent Premium 7-Passenger, $30,998, High Price, 21,908 miles, 
Used 2022 Subaru, Outback 2.4T Wilderness, $31,995, High Price, 50,162 miles, 
Used 2022 Subaru, Crosstrek 2.5i Limited CVT, $26,999, High Price, 40,426 miles, 
Used 2022 Subaru, Legacy 2.5i Premium, $23,225, High Price, 50,526 miles, 
