Used 2023 Kia, Sorento Hybrid SX Prestige AWD, $34,489, Great Price, 10,030 miles, 
Used 2023 Kia, K5 LXS FWD, $18,595, Excellent Price, 19,656 miles, 
Used 2023 Kia, Niro Hybrid EX Touring, $21,999, Great Price, 28,715 miles, 
Used 2023 Kia, Forte LXS IVT, $16,995, Excellent Price, 30,197 miles, 
Used 2023 Kia, Forte LXS IVT, $18,494, Excellent Price, 2,597 miles, 
Used 2023 Kia, Forte LXS IVT, $17,209, Excellent Price, 18,563 miles, 
Used 2023 Kia, EV6 Wind RWD, $17,799, Excellent Price, 43,322 miles, 
Used 2023 Kia, Soul LX IVT, $18,594, Great Price, 23,375 miles, 
Used 2023 Kia, Forte GT DCT, $23,594, Great Price, 29,209 miles, 
Used 2023 Kia, Niro Hybrid EX, $21,081, Excellent Price, 49,299 miles, 
Used 2023 Kia, Seltos S AWD, $21,594, Great Price, 34,379 miles, 
Used 2023 Kia, Sportage SX FWD, $22,598, Great Price, 59,725 miles, 
Used 2023 Kia, Forte LXS IVT, $18,670, Great Price, 19,967 miles, 
Used 2023 Kia, Sportage LX AWD, $22,040, Great Price, 37,212 miles, 
Used 2023 Kia, Sorento X-Line EX AWD, $31,381, Excellent Price, 20,152 miles, 
Used 2023 Kia, K5 EX FWD, $25,952, Excellent Price, 20,647 miles, 
Used 2023 Kia, Forte LXS IVT, $18,998, Great Price, 43,707 miles, 
Used 2023 Kia, Sportage Hybrid SX-Prestige AWD, $31,353, Great Price, 27,537 miles, 
Used 2023 Kia, Soul LX IVT, $10,960, Excellent Price, 109,049 miles, 
Used 2023 Kia, Sorento Plug-In Hybrid SX Prestige AWD, $29,999, Great Price, 30,219 miles, 
Used 2023 Kia, Sportage Hybrid SX-Prestige AWD, $26,700, Excellent Price, 59,823 miles, 
Used 2023 Kia, Sportage EX FWD, $24,370, Great Price, 24,463 miles, 
Used 2023 Kia, K5 EX FWD, $23,462, Excellent Price, 50,243 miles, 
Used 2023 Kia, Soul EX IVT, $19,990, Great Price, 17,463 miles, 
Used 2023 Kia, Telluride EX X-Line AWD, $35,700, Great Price, 55,649 miles, 
Used 2023 Kia, Sorento Hybrid SX Prestige AWD, $32,205, Great Price, 55,415 miles, 
Used 2023 Kia, Sorento LX FWD, $24,959, Great Price, 19,335 miles, 
Used 2023 Kia, Forte GT-Line IVT, $20,899, Fair Price, 22,297 miles, 
Used 2023 Kia, Sportage LX FWD, $22,588, Great Price, 37,247 miles, 
Used 2023 Kia, Soul EX IVT, $17,600, Excellent Price, 46,322 miles, 
Used 2023 Kia, Telluride SX Prestige X-Line AWD, $43,998, Great Price, 21,162 miles, 
Used 2023 Kia, Sportage X-Line AWD, $25,645, Great Price, 45,653 miles, 
Used 2023 Kia, Niro Hybrid EX Touring, $21,999, Great Price, 28,715 miles, 
Used 2023 Kia, Forte LXS IVT, $17,291, Excellent Price, 33,135 miles, 
Used 2023 Kia, Sportage X-Line AWD, $24,499, Great Price, 36,718 miles, 
Used 2023 Kia, Sportage EX FWD, $23,371, Fair Price, 39,856 miles, 
Used 2023 Kia, Sorento Plug-In Hybrid SX Prestige AWD, $37,998, Great Price, 37,194 miles, 
Used 2023 Kia, Telluride SX Prestige X-Pro AWD, $39,995, Excellent Price, 42,375 miles, 
Used 2023 Kia, Sportage LX FWD, $15,455, Excellent Price, 78,844 miles, 
Used 2023 Kia, Forte GT-Line IVT, $16,991, Excellent Price, 52,223 miles, 
Used 2023 Kia, Sportage X-Line AWD, $25,645, Great Price, 45,653 miles, 
Used 2023 Kia, Sorento Plug-In Hybrid SX Prestige AWD, $29,999, Great Price, 30,219 miles, 
Used 2023 Kia, Telluride SX Prestige X-Line AWD, $43,998, Great Price, 21,162 miles, 
Used 2023 Kia, Forte LXS IVT, $19,160, Great Price, 17,676 miles, 
Used 2023 Kia, Sportage X-Pro Prestige AWD, $30,550, Great Price, 30,394 miles, 
Used 2023 Kia, Niro Hybrid EX Touring, $21,999, Great Price, 28,715 miles, 
Used 2023 Kia, Soul EX IVT, $19,990, Great Price, 17,463 miles, 
Used 2023 Kia, Telluride EX FWD, $34,431, Excellent Price, 18,635 miles, 
Used 2023 Kia, Sportage EX FWD, $23,900, Great Price, 27,666 miles, 
Used 2023 Kia, Sportage Plug-In Hybrid X-Line AWD, $19,998, Excellent Price, 38,180 miles, 
Used 2023 Kia, Sportage Hybrid EX AWD, $23,800, Excellent Price, 35,820 miles, 
Used 2023 Kia, Sorento Hybrid SX Prestige AWD, $31,595, Great Price, 48,826 miles, 
Used 2023 Kia, Forte GT-Line IVT, $18,795, Excellent Price, 28,386 miles, 
Used 2023 Kia, Stinger GT-Line AWD, $19,890, Excellent Price, 70,244 miles, 
Used 2023 Kia, Sportage LX AWD, $21,083, Excellent Price, 41,506 miles, 
Used 2023 Kia, Sportage X-Line AWD, $23,997, Excellent Price, 43,009 miles, 
Used 2023 Kia, Sportage Hybrid SX-Prestige AWD, $30,999, Excellent Price, 22,834 miles, 
Used 2023 Kia, Forte GT-Line IVT, $20,899, Fair Price, 22,297 miles, 
Used 2023 Kia, Sportage SX-Prestige AWD, $29,998, Fair Price, 32,205 miles, 
Used 2023 Kia, Sportage X-Pro Prestige AWD, $28,395, Great Price, 29,996 miles, 
Used 2023 Kia, Sportage Plug-In Hybrid X-Line Prestige AWD, $28,488, Excellent Price, 54,057 miles, 
Used 2023 Kia, K5 LXS FWD, $20,000, Excellent Price, 25,854 miles, 
Used 2023 Kia, Forte GT-Line IVT, $20,413, Great Price, 11,365 miles, 
Used 2023 Kia, Sportage Hybrid EX AWD, $25,413, Great Price, 41,518 miles, 
Used 2023 Kia, Sportage SX-Prestige AWD, $28,600, Great Price, 28,730 miles, 
Used 2023 Kia, Forte LX IVT, $16,982, Great Price, 17,155 miles, 
Used 2023 Kia, Sportage LX FWD, $15,455, Excellent Price, 78,844 miles, 
Used 2023 Kia, Forte GT-Line IVT, $21,421, Fair Price, 25,099 miles, 
Used 2023 Kia, Sportage LX AWD, $21,998, Great Price, 53,241 miles, 
Used 2023 Kia, Soul LX IVT, $18,900, Great Price, 1,706 miles, 
Used 2023 Kia, Sportage LX AWD, $22,059, Great Price, 27,160 miles, 
Used 2023 Kia, Niro Hybrid EX Touring, $19,126, Excellent Price, 84,686 miles, 
Used 2023 Kia, Forte GT-Line IVT, $18,888, Excellent Price, 27,735 miles, 
Used 2023 Kia, Soul LX IVT, $17,997, Great Price, 37,710 miles, 
Used 2023 Kia, EV6 GT AWD, $34,995, Excellent Price, 16,498 miles, 
Used 2023 Kia, Forte GT-Line IVT, $15,279, Great Price, 57,246 miles, 
Used 2023 Kia, Sportage SX AWD, $27,450, Great Price, 26,590 miles, 
Used 2023 Kia, Sportage X-Line AWD, $26,982, Great Price, 10,395 miles, 
Used 2023 Kia, Forte GT-Line IVT, $19,475, Great Price, 37,986 miles, 
Used 2023 Kia, Telluride S AWD, $35,222, Great Price, 18,367 miles, 
Used 2023 Kia, K5 GT-Line AWD, $19,995, Excellent Price, 45,658 miles, 
Used 2023 Kia, Sportage X-Pro Prestige AWD, $30,995, Great Price, 23,265 miles, 
Used 2023 Kia, Forte LXS IVT, $16,490, Great Price, 30,536 miles, 
Used 2023 Kia, Seltos S AWD, $22,998, Great Price, 22,373 miles, 
Used 2023 Kia, Forte GT-Line IVT, $19,618, Great Price, 32,901 miles, 
Used 2023 Kia, Forte GT-Line IVT, $18,995, Great Price, 28,971 miles, 
Used 2023 Kia, Sportage X-Line AWD, $26,959, Great Price, 23,641 miles, 
Used 2023 Kia, Soul LX IVT, $19,998, Fair Price, 12,739 miles, 
Used 2023 Kia, Forte GT-Line IVT, $19,899, Great Price, 31,878 miles, 
Used 2023 Kia, Telluride SX Prestige AWD, $33,312, Excellent Price, 65,416 miles, 
Used 2023 Kia, Sportage X-Line AWD, $26,999, Great Price, 20,615 miles, 
Used 2023 Kia, Sportage SX AWD, $28,762, Great Price, 14,065 miles, 
Used 2023 Kia, Sportage Hybrid SX-Prestige AWD, $23,450, Excellent Price, 70,398 miles, 
Used 2023 Kia, Forte GT-Line IVT, $16,695, Excellent Price, 34,864 miles, 
Used 2023 Kia, Forte GT-Line IVT, $20,284, Fair Price, 49,466 miles, 
Used 2023 Kia, K5 GT FWD DCT, $28,795, Great Price, 14,634 miles, 
Used 2023 Kia, Soul LX IVT, $16,736, Great Price, 40,779 miles, 
Used 2023 Kia, EV6 GT AWD, $34,995, Excellent Price, 16,498 miles, 
Used 2023 Kia, Sportage EX FWD, $26,771, Fair Price, 10,002 miles, 
Used 2023 Kia, Sportage SX AWD, $27,450, Great Price, 26,590 miles, 
Used 2023 Kia, Sportage X-Line AWD, $23,997, Excellent Price, 43,009 miles, 
Used 2023 Kia, Sportage X-Pro Prestige AWD, $29,991, Fair Price, 40,079 miles, 
Used 2023 Kia, Niro Hybrid EX Touring, $22,773, Great Price, 30,348 miles, 
Used 2023 Kia, Sportage X-Line AWD, $30,998, High Price, 17,036 miles, 
Used 2023 Kia, Forte GT-Line IVT, $19,475, Great Price, 37,986 miles, 
