Used 2018 Honda, CR-V EX-L with Navigation AWD, $21,501, Excellent Price, 58,782 miles, 
Used 2018 Honda, CR-V EX AWD, $18,704, Excellent Price, 77,958 miles, 
Used 2018 Honda, Civic EX with Honda Sensing Hatchback CVT, $17,524, Excellent Price, 88,405 miles, 
Used 2018 Honda, Odyssey EX-L, $22,816, Excellent Price, 96,034 miles, 
Used 2018 Honda, CR-V EX AWD, $18,704, Excellent Price, 77,958 miles, 
Used 2018 Honda, Accord EX-L with Navigation 2.0T Automatic, $21,598, Great Price, 63,547 miles, 
Used 2018 Honda, Pilot Touring AWD, $23,694, Fair Price, 80,134 miles, 
Used 2018 Honda, Accord LX 1.5T CVT, $21,195, High Price, 72,516 miles, 
Used 2018 Honda, CR-V EX-L with Navigation AWD, $21,501, Excellent Price, 58,782 miles, 
Used 2018 Honda, CR-V EX-L AWD, $18,599, Excellent Price, 82,956 miles, 
Used 2018 Honda, Civic Sport Hatchback Manual, $17,995, Great Price, 71,795 miles, 
Used 2018 Honda, HR-V EX AWD CVT, $16,996, Great Price, 66,920 miles, 
Used 2018 Honda, Civic EX Sedan CVT, $17,995, Fair Price, 71,435 miles, 
Used 2018 Honda, Fit LX CVT, $15,119, Fair Price, 57,542 miles, 
Used 2018 Honda, Clarity Plug-In Hybrid, $19,893, Great Price, 48,740 miles, 
Used 2018 Honda, Civic Si with High Performance Tires Coupe Manual, $23,998, Fair Price, 52,349 miles, 
Used 2018 Honda, Civic LX-P Coupe CVT, $14,959, Excellent Price, 68,706 miles, 
Used 2018 Honda, Pilot Touring AWD, $22,995, High Price, 109,744 miles, 
Used 2018 Honda, Civic LX Sedan CVT, $15,547, Fair Price, 97,714 miles, 
Used 2018 Honda, CR-V EX-L with Navigation AWD, $21,501, Excellent Price, 58,782 miles, 
Used 2018 Honda, CR-V EX AWD, $18,704, Excellent Price, 77,958 miles, 
Used 2018 Honda, Civic EX with Honda Sensing Hatchback CVT, $17,524, Excellent Price, 88,405 miles, 
Used 2018 Honda, Odyssey EX-L, $22,816, Excellent Price, 96,034 miles, 
Used 2018 Honda, CR-V EX AWD, $18,704, Excellent Price, 77,958 miles, 
Used 2018 Honda, Accord EX-L with Navigation 2.0T Automatic, $21,598, Great Price, 63,547 miles, 
Used 2018 Honda, Pilot Touring AWD, $23,694, Fair Price, 80,134 miles, 
Used 2018 Honda, Accord LX 1.5T CVT, $21,195, High Price, 72,516 miles, 
Used 2018 Honda, CR-V EX-L with Navigation AWD, $21,501, Excellent Price, 58,782 miles, 
Used 2018 Honda, CR-V EX-L AWD, $18,599, Excellent Price, 82,956 miles, 
Used 2018 Honda, Civic Sport Hatchback Manual, $17,995, Great Price, 71,795 miles, 
Used 2018 Honda, HR-V EX AWD CVT, $16,996, Great Price, 66,920 miles, 
Used 2018 Honda, Civic EX Sedan CVT, $17,995, Fair Price, 71,435 miles, 
Used 2018 Honda, Fit LX CVT, $15,119, Fair Price, 57,542 miles, 
Used 2018 Honda, Clarity Plug-In Hybrid, $19,893, Great Price, 48,740 miles, 
Used 2018 Honda, Civic Si with High Performance Tires Coupe Manual, $23,998, Fair Price, 52,349 miles, 
Used 2018 Honda, Civic LX-P Coupe CVT, $14,959, Excellent Price, 68,706 miles, 
Used 2018 Honda, Pilot Touring AWD, $22,995, High Price, 109,744 miles, 
Used 2018 Honda, Civic LX Sedan CVT, $15,547, Fair Price, 97,714 miles, 
