Used 2019 Jaguar, I-PACE SE, $27,900, Excellent Price, 23,013 miles, 
Used 2020 Jaguar, F-TYPE Checkered Flag Convertible RWD, $33,500, Great Price, 80,223 miles, 
Used 2018 Jaguar, XE Premium 20d AWD, $14,900, Great Price, 73,878 miles, 
Used 2018 Jaguar, F-TYPE R Coupe AWD Automatic, $59,500, Fair Price, 8,025 miles, 
Used 2020 Jaguar, F-PACE SVR AWD, $47,700, High Price, 48,849 miles, 
Used 2000 Jaguar, XK8 Supercharged Convertible, $17,900, High Price, 69,460 miles, 
Used 2014 Jaguar, XJL Portfolio AWD, $16,488, Fair Price, 69,957 miles, 
Used 2018 Jaguar, F-TYPE R Coupe AWD Automatic, $48,912, Fair Price, 27,791 miles, 
Used 2018 Jaguar, XE Premium 25t AWD, $16,500, High Price, 73,585 miles, 
Used 2020 Jaguar, F-TYPE Checkered Flag Coupe RWD, $36,495, Excellent Price, 29,319 miles, 
Used 2007 Jaguar, XK Convertible, $14,998, Excellent Price, 64,277 miles, 
Used 2018 Jaguar, F-TYPE Convertible 2.0T RWD Automatic, $33,900, High Price, 43,548 miles, 
Used 2011 Jaguar, XJ RWD, $15,900, High Price, 69,000 miles, 
Used 2018 Jaguar, F-PACE Premium 25t, $17,851, High Price, 69,562 miles, 
Used 2018 Jaguar, F-PACE Premium 25t, $14,045, High Price, 95,926 miles, 
Used 2017 Jaguar, F-TYPE S Coupe AWD Automatic, $31,495, High Price, 28,570 miles, 
