Used 2024 Hyundai, Tucson Limited AWD, $29,998, Great Price, 23,430 miles, 
Used 2024 Hyundai, Tucson Plug-In Hybrid SEL AWD, $31,000, Excellent Price, 3,173 miles, 
Used 2024 Hyundai, Kona SEL AWD, $24,998, Great Price, 6,452 miles, 
Used 2024 Hyundai, Tucson Plug-In Hybrid Limited AWD, $37,000, Great Price, 4,128 miles, 
Used 2024 Hyundai, Santa Fe Limited AWD, $37,500, Great Price, 3,040 miles, 
Used 2024 Hyundai, Venue SEL IVT, $20,114, Great Price, 11,936 miles, 
Used 2024 Hyundai, Elantra SEL IVT, $23,988, Fair Price, 1,575 miles, 
Used 2024 Hyundai, Elantra Limited IVT, $21,741, Great Price, 16,307 miles, 
Used 2024 Hyundai, Kona SEL FWD, $23,000, Fair Price, 17,337 miles, 
Used 2024 Hyundai, Santa Fe Limited AWD, $38,500, Fair Price, 3,002 miles, 
Used 2024 Hyundai, Elantra SEL IVT, $16,997, Excellent Price, 24,000 miles, 
Used 2024 Hyundai, Palisade SEL AWD, $39,998, High Price, 19,966 miles, 
Used 2024 Hyundai, Palisade Limited FWD, $38,000, High Price, 51,109 miles, 
Used 2024 Hyundai, Elantra SEL IVT, $17,500, Excellent Price, 17,666 miles, 
Used 2024 Hyundai, Venue SEL IVT, $19,001, Fair Price, 32,059 miles, 
Used 2024 Hyundai, Sonata SEL FWD, $23,999, Great Price, 572 miles, 
Used 2024 Hyundai, Santa Fe XRT AWD, $31,706, Great Price, 35,960 miles, 
Used 2024 Hyundai, Elantra SEL IVT, $22,998, Fair Price, 12,099 miles, 
Used 2024 Hyundai, Venue SEL IVT, $17,900, Excellent Price, 5,677 miles, 
Used 2024 Hyundai, Tucson Limited AWD, $25,400, Great Price, 60,599 miles, 
Used 2024 Hyundai, Elantra SEL IVT, $16,995, Excellent Price, 44,704 miles, 
Used 2024 Hyundai, Elantra SEL IVT, $19,705, Great Price, 10,848 miles, 
Used 2024 Hyundai, Palisade Calligraphy AWD, $36,500, Excellent Price, 46,119 miles, 
Used 2024 Hyundai, Elantra SEL IVT, $20,494, Great Price, 14,571 miles, 
Used 2024 Hyundai, Palisade SEL AWD, $33,394, Excellent Price, 29,134 miles, 
Used 2024 Hyundai, IONIQ 5 Limited AWD, $34,975, Excellent Price, 26,407 miles, 
Used 2024 Hyundai, Elantra SEL IVT, $18,900, Great Price, 24,000 miles, 
Used 2024 Hyundai, Palisade SEL FWD, $33,980, Great Price, 32,468 miles, 
Used 2024 Hyundai, Elantra SEL IVT, $20,000, Great Price, 6,299 miles, 
Used 2024 Hyundai, Venue SEL IVT, $16,400, Excellent Price, 34,355 miles, 
Used 2024 Hyundai, Elantra SE IVT, $17,995, Great Price, 18,532 miles, 
Used 2024 Hyundai, Sonata SEL FWD, $20,995, Excellent Price, 22,722 miles, 
Used 2024 Hyundai, Santa Cruz Limited AWD, $29,900, Great Price, 15,296 miles, 
Used 2024 Hyundai, Elantra Hybrid Blue DCT, $23,998, Fair Price, 15,679 miles, 
Used 2024 Hyundai, IONIQ 6 SEL AWD, $31,875, Excellent Price, 1,521 miles, 
Used 2024 Hyundai, Elantra Hybrid Limited DCT, $21,000, Great Price, 41,867 miles, 
Used 2024 Hyundai, Palisade Limited FWD, $39,705, Great Price, 16,200 miles, 
Used 2024 Hyundai, Tucson Limited AWD, $24,250, Great Price, 56,369 miles, 
Used 2024 Hyundai, IONIQ 5 SEL AWD, $29,310, Excellent Price, 11,683 miles, 
Used 2024 Hyundai, Sonata N Line FWD, $26,779, Great Price, 49,371 miles, 
Used 2024 Hyundai, Tucson SEL AWD Limited Availability, $24,000, Fair Price, 28,952 miles, 
Used 2024 Hyundai, Santa Fe SEL FWD, $29,000, Great Price, 24,067 miles, 
Used 2024 Hyundai, IONIQ 5 Limited AWD, $38,500, Great Price, 5,464 miles, 
