Used 2024 Nissan, Murano AWD Platinum, $36,350, Great Price, 12,512 miles, 
Used 2024 Nissan, Altima 2.5 SV FWD, $19,494, Great Price, 37,613 miles, 
Used 2024 Nissan, Pathfinder Platinum 4WD, $40,916, Great Price, 17,965 miles, 
Used 2024 Nissan, Altima 2.5 SR FWD, $21,135, Great Price, 53,727 miles, 
Used 2024 Nissan, LEAF SV PLUS, $19,998, Great Price, 5,819 miles, 
Used 2024 Nissan, Titan PRO-4X Crew Cab 4WD, $49,995, Great Price, 12,454 miles, 
Used 2024 Nissan, Pathfinder Rock Creek 4WD, $37,623, Fair Price, 6,422 miles, 
Used 2024 Nissan, Ariya Evolve+ e-4ORCE AWD, $28,495, Excellent Price, 11,469 miles, 
Used 2024 Nissan, Titan SV Crew Cab 4WD, $39,950, Great Price, 17,215 miles, 
Used 2024 Nissan, Kicks SR, $22,998, Great Price, 14,799 miles, 
Used 2024 Nissan, Rogue Platinum AWD, $36,479, Great Price, 1,686 miles, 
Used 2024 Nissan, Altima 2.5 S FWD, $22,998, Fair Price, 9,292 miles, 
Used 2024 Nissan, Kicks SV, $20,998, Great Price, 19,282 miles, 
Used 2024 Nissan, Sentra SV, $17,750, Excellent Price, 25,706 miles, 
Used 2024 Nissan, Altima 2.5 SR FWD, $22,843, Excellent Price, 18,074 miles, 
Used 2024 Nissan, Frontier PRO-4X Crew Cab 4WD, $38,998, Great Price, 3,276 miles, 
Used 2024 Nissan, Murano AWD SL, $35,194, Fair Price, 6,359 miles, 
Used 2024 Nissan, Frontier SL Crew Cab 4WD, $37,999, Great Price, 5,627 miles, 
Used 2024 Nissan, Frontier S King Cab 2WD, $25,998, Great Price, 28,808 miles, 
Used 2024 Nissan, Altima 2.5 SR FWD, $21,465, Great Price, 29,027 miles, 
Used 2024 Nissan, Kicks SV, $19,500, Great Price, 19,145 miles, 
Used 2024 Nissan, Altima 2.5 SR FWD, $25,444, Fair Price, 4,834 miles, 
Used 2024 Nissan, Kicks SV, $20,985, Great Price, 7,779 miles, 
Used 2024 Nissan, Kicks SR, $23,998, Fair Price, 9,858 miles, 
Used 2024 Nissan, Kicks SV, $21,988, High Price, 19,038 miles, 
Used 2024 Nissan, Murano FWD SL, $35,995, Fair Price, 10,046 miles, 
Used 2024 Nissan, Sentra SV, $19,400, Excellent Price, 17,500 miles, 
Used 2024 Nissan, Kicks SV, $17,064, Excellent Price, 38,460 miles, 
Used 2024 Nissan, Rogue Platinum AWD, $36,995, High Price, 17,175 miles, 
Used 2024 Nissan, Kicks S, $18,200, Great Price, 20,263 miles, 
Used 2024 Nissan, Sentra SV, $18,900, Excellent Price, 25,880 miles, 
Used 2024 Nissan, Altima 2.5 SR FWD, $21,800, Excellent Price, 27,207 miles, 
Used 2024 Nissan, Altima 2.5 S FWD, $20,500, Excellent Price, 453 miles, 
Used 2024 Nissan, Versa SR CVT, $13,900, Excellent Price, 25,137 miles, 
Used 2024 Nissan, Altima 2.5 SR FWD, $19,765, Excellent Price, 45,901 miles, 
Used 2024 Nissan, Kicks S, $18,500, Great Price, 12,017 miles, 
Used 2024 Nissan, Frontier SV Crew Cab 2WD, $31,200, Great Price, 7,535 miles, 
Used 2024 Nissan, Kicks SV, $20,154, Great Price, 12,001 miles, 
Used 2024 Nissan, Sentra SV, $20,562, Great Price, 18,401 miles, 
Used 2024 Nissan, Rogue SV AWD, $21,300, Excellent Price, 51,245 miles, 
