Used 2022 Volvo, C40 Recharge P8 eAWD Ultimate, $28,196, Excellent Price, 21,299 miles, 
Used 2022 Volvo, XC40 Recharge Ultimate, $32,686, Excellent Price, 4,646 miles, 
Used 2022 Volvo, XC60 B5 R-Design AWD, $31,355, Excellent Price, 45,706 miles, 
Used 2022 Volvo, XC60 B5 Momentum FWD, $29,998, Great Price, 29,300 miles, 
Used 2022 Volvo, XC60 B5 Inscription AWD, $37,500, Great Price, 32,913 miles, 
Used 2022 Volvo, XC60 B5 Inscription FWD, $36,500, Great Price, 26,443 miles, 
Used 2022 Volvo, XC90 T6 Momentum 6-Passenger AWD, $40,497, Great Price, 29,990 miles, 
Used 2022 Volvo, XC60 B5 Momentum FWD, $31,600, Fair Price, 31,060 miles, 
Used 2022 Volvo, XC60 B5 Momentum FWD, $29,896, Fair Price, 37,680 miles, 
Used 2022 Volvo, XC90 T6 Momentum 7-Passenger AWD, $37,996, Fair Price, 47,864 miles, 
Used 2022 Volvo, XC90 T6 Inscription 7-Passenger AWD, $41,495, Excellent Price, 44,028 miles, 
Used 2022 Volvo, XC90 T6 Inscription 7-Passenger AWD, $40,995, Great Price, 49,336 miles, 
Used 2022 Volvo, XC60 B5 Inscription AWD, $37,496, Fair Price, 33,036 miles, 
Used 2022 Volvo, XC90 T6 Momentum 7-Passenger AWD, $36,995, Great Price, 56,640 miles, 
Used 2022 Volvo, XC40 T4 Momentum FWD, $21,000, Great Price, 57,879 miles, 
Used 2022 Volvo, XC90 T6 Momentum 7-Passenger AWD, $37,801, Great Price, 30,485 miles, 
Used 2022 Volvo, XC90 T5 Momentum 7-Passenger AWD, $32,499, Great Price, 40,872 miles, 
Used 2022 Volvo, XC60 Recharge Inscription, $39,000, Excellent Price, 37,149 miles, 
Used 2022 Volvo, XC90 T6 Momentum 6-Passenger AWD, $38,000, Excellent Price, 32,002 miles, 
Used 2022 Volvo, XC60 B5 Inscription AWD, $34,381, Excellent Price, 28,123 miles, 
Used 2022 Volvo, XC90 T6 Momentum 6-Passenger AWD, $38,696, Fair Price, 40,604 miles, 
Used 2022 Volvo, XC90 T6 Inscription 7-Passenger AWD, $45,495, Great Price, 35,533 miles, 
Used 2022 Volvo, S90 Inscription, $33,750, Fair Price, 51,807 miles, 
Used 2022 Volvo, C40 Recharge P8 eAWD Ultimate, $31,632, Great Price, 8,695 miles, 
Used 2022 Volvo, XC60 B6 Inscription AWD, $41,499, Fair Price, 44,257 miles, 
Used 2022 Volvo, XC90 T6 Momentum 7-Passenger AWD, $38,900, Fair Price, 43,783 miles, 
Used 2022 Volvo, XC60 B6 Inscription AWD, $38,500, Great Price, 37,057 miles, 
Used 2022 Volvo, XC90 T6 Momentum 6-Passenger AWD, $40,900, Fair Price, 36,140 miles, 
Used 2022 Volvo, XC60 B6 Inscription AWD, $43,995, Fair Price, 36,141 miles, 
