Used 2023 Genesis, GV80 2.5T AWD, $39,999, Excellent Price, 33,310 miles, 
Used 2023 Genesis, GV60 Performance, $30,853, Excellent Price, 44,886 miles, 
Used 2023 Genesis, GV80 2.5T AWD, $39,999, Excellent Price, 33,310 miles, 
Used 2023 Genesis, GV60 Performance, $41,998, Excellent Price, 28,180 miles, 
Used 2023 Genesis, GV80 3.5T AWD, $46,500, Excellent Price, 41,208 miles, 
Used 2023 Genesis, GV70 3.5T Sport, $46,250, Great Price, 21,521 miles, 
Used 2023 Genesis, GV70 2.5T, $38,770, Great Price, 22,273 miles, 
Used 2023 Genesis, GV70 3.5T Sport, $44,963, Great Price, 31,744 miles, 
Used 2023 Genesis, GV80 3.5T AWD, $51,745, Great Price, 25,414 miles, 
Used 2023 Genesis, G80 2.5T AWD, $35,980, Great Price, 26,807 miles, 
Used 2023 Genesis, G70 2.0T AWD, $35,998, Great Price, 8,149 miles, 
Used 2023 Genesis, G70 2.0T AWD, $30,000, Fair Price, 11,034 miles, 
Used 2023 Genesis, G80 2.5T AWD, $38,000, Fair Price, 14,660 miles, 
Used 2023 Genesis, GV70 2.5T, $35,100, Great Price, 34,191 miles, 
Used 2023 Genesis, G70 2.0T AWD, $25,349, Great Price, 39,889 miles, 
Used 2023 Genesis, GV70 2.5T, $36,995, Fair Price, 33,723 miles, 
Used 2023 Genesis, GV70 3.5T Sport, $48,998, Great Price, 23,405 miles, 
Used 2023 Genesis, GV70 2.5T, $36,990, Fair Price, 35,501 miles, 
Used 2023 Genesis, GV70 3.5T Sport, $49,700, Great Price, 8,312 miles, 
Used 2023 Genesis, G70 2.0T AWD, $28,997, Great Price, 18,105 miles, 
Used 2023 Genesis, GV80 2.5T AWD, $39,988, Fair Price, 40,647 miles, 
Used 2023 Genesis, Electrified G80 Sedan, $41,988, Excellent Price, 18,816 miles, 
Used 2023 Genesis, GV70 2.5T, $37,000, Fair Price, 22,247 miles, 
Used 2023 Genesis, G70 2.0T AWD, $24,950, Fair Price, 43,740 miles, 
Used 2023 Genesis, G70 2.0T AWD, $34,998, High Price, 14,451 miles, 
Used 2023 Genesis, GV70 2.5T, $38,988, Fair Price, 27,416 miles, 
Used 2023 Genesis, G70 3.3T RWD, $34,500, Fair Price, 18,926 miles, 
Used 2023 Genesis, G70 3.3T AWD, $39,000, High Price, 18,248 miles, 
Used 2023 Genesis, G80 2.5T RWD, $31,000, Fair Price, 40,390 miles, 
Used 2023 Genesis, GV70 2.5T, $41,990, High Price, 18,081 miles, 
Used 2023 Genesis, G70 2.0T AWD, $26,249, Fair Price, 39,003 miles, 
Used 2023 Genesis, G70 2.0T AWD, $28,500, Fair Price, 31,828 miles, 
Used 2023 Genesis, GV70 2.5T, $42,150, High Price, 33,373 miles, 
Used 2023 Genesis, GV70 2.5T, $36,998, High Price, 58,180 miles, 
Used 2023 Genesis, GV80 3.5T Advanced + AWD, $46,500, High Price, 36,265 miles, 
Used 2023 Genesis, GV70 2.5T, $41,895, High Price, 24,382 miles, 
Used 2023 Genesis, G70 2.0T AWD, $28,955, Fair Price, 38,170 miles, 
Used 2023 Genesis, G80 2.5T AWD, $37,898, Fair Price, 39,093 miles, 
Used 2023 Genesis, G80 2.5T RWD, $37,743, High Price, 44,703 miles, 
Used 2023 Genesis, G70 2.0T RWD, $30,322, Fair Price, 33,807 miles, 
Used 2023 Genesis, GV80 2.5T AWD, $45,990, Fair Price, 21,283 miles, 
