Used 2019 Kia, Sorento LX V6 AWD, $16,498, Excellent Price, 78,638 miles, 
Used 2019 Kia, Soul Base Manual, $7,500, Excellent Price, 86,264 miles, 
Used 2019 Kia, Soul Base Automatic, $9,399, Excellent Price, 86,657 miles, 
Used 2019 Kia, Sportage EX AWD, $9,895, Excellent Price, 144,378 miles, 
Used 2019 Kia, Forte LXS IVT, $8,000, Excellent Price, 127,675 miles, 
Used 2019 Kia, Sorento LX I4 FWD, $6,990, Excellent Price, 197,413 miles, 
Used 2019 Kia, Sorento LX V6 AWD, $16,498, Excellent Price, 78,638 miles, 
Used 2019 Kia, Optima EX, $13,777, Excellent Price, 43,650 miles, 
Used 2019 Kia, Sportage LX AWD, $11,549, Excellent Price, 93,582 miles, 
Used 2019 Kia, Forte LXS IVT, $8,750, Excellent Price, 101,400 miles, 
Used 2019 Kia, Optima EX, $9,999, Excellent Price, 117,709 miles, 
Used 2019 Kia, Forte LXS IVT, $11,850, Great Price, 80,793 miles, 
Used 2019 Kia, Sportage SX Turbo FWD, $23,998, Excellent Price, 8,930 miles, 
Used 2019 Kia, Sorento LX I4 FWD, $11,500, Great Price, 105,279 miles, 
Used 2019 Kia, Sorento LX I4 AWD, $16,000, Great Price, 68,780 miles, 
Used 2019 Kia, Optima S, $18,998, Excellent Price, 32,813 miles, 
Used 2019 Kia, Optima LX, $16,998, Great Price, 51,406 miles, 
Used 2019 Kia, Forte LXS IVT, $17,998, Great Price, 14,296 miles, 
Used 2019 Kia, Forte S IVT, $15,998, Great Price, 67,090 miles, 
Used 2019 Kia, Sorento SX Limited V6 AWD, $22,895, Great Price, 58,398 miles, 
Used 2019 Kia, Sorento LX V6 AWD, $12,800, Excellent Price, 83,010 miles, 
Used 2019 Kia, Soul + Automatic, $7,990, Excellent Price, 94,396 miles, 
Used 2019 Kia, Optima LX, $10,400, Excellent Price, 122,538 miles, 
Used 2019 Kia, Sorento LX V6 AWD, $15,000, Fair Price, 101,883 miles, 
Used 2019 Kia, Rio S Sedan, $11,995, Great Price, 55,145 miles, 
Used 2019 Kia, Sorento EX V6 AWD, $12,714, Excellent Price, 112,621 miles, 
Used 2019 Kia, Forte S IVT, $10,499, Great Price, 113,083 miles, 
Used 2019 Kia, Optima SX Turbo, $14,777, Excellent Price, 47,074 miles, 
Used 2019 Kia, Sorento LX I4 FWD, $7,900, Excellent Price, 175,378 miles, 
Used 2019 Kia, Sportage EX AWD, $14,985, Excellent Price, 66,075 miles, 
Used 2019 Kia, Rio LX Sedan, $5,990, Excellent Price, 105,370 miles, 
Used 2019 Kia, Soul + Automatic, $7,990, Excellent Price, 94,396 miles, 
Used 2019 Kia, Soul + Automatic, $9,898, Great Price, 111,708 miles, 
Used 2019 Kia, Sorento LX I4 AWD, $17,695, Fair Price, 51,828 miles, 
Used 2019 Kia, Forte S IVT, $10,499, Great Price, 113,083 miles, 
Used 2019 Kia, Niro EV EX, $13,500, Excellent Price, 60,600 miles, 
Used 2019 Kia, Optima S, $17,498, Great Price, 38,363 miles, 
Used 2019 Kia, Niro Hybrid LX, $15,000, Great Price, 40,796 miles, 
Used 2019 Kia, Sportage EX AWD, $14,985, Excellent Price, 66,075 miles, 
Used 2019 Kia, Sorento L I4 FWD, $15,998, High Price, 95,448 miles, 
Used 2019 Kia, Optima LX, $10,400, Excellent Price, 122,538 miles, 
Used 2019 Kia, Sorento EX Sport V6 FWD, $20,409, High Price, 43,994 miles, 
Used 2019 Kia, Optima S, $10,596, Excellent Price, 87,601 miles, 
Used 2019 Kia, Optima S, $13,900, Excellent Price, 69,922 miles, 
Used 2019 Kia, Soul + Automatic, $13,495, Great Price, 25,920 miles, 
Used 2019 Kia, Sorento EX V6 AWD, $12,714, Excellent Price, 112,621 miles, 
Used 2019 Kia, Sorento LX I4 AWD, $14,499, Excellent Price, 73,148 miles, 
Used 2019 Kia, Stinger GT AWD, $25,900, High Price, 38,712 miles, 
Used 2019 Kia, Forte LXS IVT, $10,480, Excellent Price, 95,495 miles, 
Used 2019 Kia, Sorento LX I4 AWD, $17,998, High Price, 84,671 miles, 
Used 2019 Kia, Sorento LX I4 AWD, $14,944, Fair Price, 81,073 miles, 
Used 2019 Kia, Soul Base Automatic, $8,897, Great Price, 131,580 miles, 
Used 2019 Kia, Optima LX, $6,741, Excellent Price, 236,552 miles, 
Used 2019 Kia, Forte S IVT, $15,995, Great Price, 33,353 miles, 
Used 2019 Kia, Optima S, $9,750, Excellent Price, 99,864 miles, 
Used 2019 Kia, Forte EX IVT, $16,998, Fair Price, 63,710 miles, 
Used 2019 Kia, Soul Base Automatic, $17,998, High Price, 24,279 miles, 
Used 2019 Kia, Sportage SX Turbo AWD, $17,500, Great Price, 90,615 miles, 
Used 2019 Kia, Sportage EX AWD, $18,950, Fair Price, 37,411 miles, 
Used 2019 Kia, Soul + Automatic, $15,998, High Price, 31,662 miles, 
Used 2019 Kia, Sorento LX I4 AWD, $17,295, High Price, 88,603 miles, 
Used 2019 Kia, Sorento LX I4 FWD, $16,500, Fair Price, 58,512 miles, 
Used 2019 Kia, Sorento L I4 FWD, $10,995, High Price, 128,690 miles, 
Used 2019 Kia, Optima EX, $18,988, Great Price, 29,683 miles, 
Used 2019 Kia, Forte LXS IVT, $15,998, High Price, 67,847 miles, 
Used 2019 Kia, Sorento SX V6 FWD, $20,998, Fair Price, 66,431 miles, 
Used 2019 Kia, Sorento S V6 FWD, $18,995, Fair Price, 49,293 miles, 
Used 2019 Kia, Sorento LX I4 FWD, $15,740, Fair Price, 77,173 miles, 
Used 2019 Kia, Sedona LX, $20,998, High Price, 62,006 miles, 
